STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
08,         0400-4,1,6,8,00000,0,00,085,00000,'Cimarron River',,'Morrow Dam Road','Approx .1 mi E Cimarron',99.99,0,0,,0,38263100,107331900,3,3,69,69,09,1970,2,0,150,2006,5,9.1,0,0,0,1,0,0,0,5,0,0,0,A,1,5,3,02,4,02,1,2,8.5,12,36.9,0.4,0.4,8.5,9.3,99.99,N,0,N,0,0,7,7,7,5,N,2,63.9,2,40.5,7,6,N,5,7,8,,,0,720,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,4,150,2035,,Y,69,G,7,343.17
08,         0400-5,1,6,8,00000,0,00,085,00000,'Cimmaron Creek',,'Morrow Dam Road','Cimmaron  Colorado',99.99,0,0,,0,38264900,107331900,320,3,69,69,09,1970,2,0,100,2006,4,7.6,0,60,0,1,N,N,N,5,0,0,0,A,1,5,3,02,0,00,1,0,6.4,18.9,20.5,0.6,0.6,6.1,7.3,99.99,N,0,N,0,0,7,7,7,6,N,8,26.2,8,20.4,5,5,N,5,7,8,,,0,720,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,8,8,8,,0,,Y,5,100,2035,,Y,69,G,7,149.65
08,         0400-6,1,6,8,00000,0,00,085,51385,'Cimmaron Creek',,'Morrow Pt. Dam Rd','Cimmmaron  Colorado',99.99,0,0,,0,38270500,107325900,320,3,69,69,09,1985,2,0,30,2006,5,7.6,0,10,0,0,N,0,0,4,0,0,0,A,1,5,5,02,0,00,2,0,7.9,18.3,36.6,1.2,0.3,7.6,9.9,99.99,N,0,N,0,0,7,7,7,7,N,5,40.5,5,29.7,7,6,N,5,9,8,,,0,720,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,2,8,8,8,,0,,Y,8,30,2035,,Y,69,G,7,362.34
08,         0403-1,1,6,8,00000,0,00,077,00000,'Vega Dam Spillway',,'Vega dam access rd','Vega Dam',99.99,0,0,,0,39133200,107483900,10,3,11,69,06,1998,2,0,570,2018,5,7.9,0,8,0,1,1,1,1,5,0,0,0,P,1,5,1,05,0,00,1,0,7.9,13.7,21.8,2.8,0.4,7.9,11.1,99.99,N,0,N,0,0,7,7,7,7,N,2,47.7,2,29.7,7,5,N,5,9,8,,,0,620,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,900,2038,,Y,69,G,7,241.98
08,         0403-2,1,6,8,00000,0,00,077,00000,'Leon Creek Feeder Canal',,'Early Settlers Rd','3.7 mi SE HWY 330/64.6 Rd',99.99,0,0,,0,39130557,107484979,10,3,11,69,06,1999,2,0,570,2018,5,7.9,0,7,0,1,0,0,1,5,0,0,0,P,1,5,3,19,0,00,1,0,7.9,9.2,28.5,0,0,7.9,11,99.99,N,0,N,0,0,N,N,N,7,8,2,39.6,2,29.7,7,5,N,5,9,8,,,0,620,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,N,8,0,8,,0,,Y,8,900,2038,,Y,69,G,8,313.5
08,         0403-4,1,3,8,00325,0,00,045,00000,'Dam Spillway',,'Highway 325','Highway 325 Marker 4',99.99,0,0,,0,39373800,107452600,56,3,01,69,07,1965,2,0,510,2018,5,8.5,0,14,0,0,0,1,1,5,0,0,0,P,1,5,1,02,0,00,1,0,7.3,7.6,8.3,0.6,0.6,7.3,8.5,99.99,N,0,N,0,0,7,7,7,8,N,8,38.6,8,29.8,7,4,N,5,9,6,,,0,620,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,8,0,8,40,0,,Y,8,718,2040,,Y,69,G,7,70.55
08,       0401-SV1,1,6,8,00000,0,00,003,32100,'Franklin Eddy Canal',,'Access State Park','Sand Dunes State Park',99.99,0,0,,0,37395368,105435264,16,3,69,69,06,1985,2,0,50,2007,5,7.6,0,0,0,1,0,0,0,5,0,0,0,A,1,5,2,01,0,00,3,0,7.6,4.6,18,0.5,0.5,7.3,8.2,99.99,N,0,N,0,0,7,7,7,8,N,1,45,1,32.4,7,6,N,5,9,8,,,0,721,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,8,0,8,,0,,Y,8,50,2035,,Y,69,G,7,147.6
08,       0401-SV2,1,6,8,00000,0,00,109,32100,'Franklin Eddy Canal',,'D Road','Road D off of highway 17',99.99,0,0,,0,37473682,105502792,8,3,69,69,06,1985,2,0,10,2007,5,10.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,2,01,0,00,3,0,10.1,3,13.4,0.3,0.3,10.2,10.8,99.99,N,0,N,0,0,7,7,7,8,N,1,45,1,32.4,7,9,N,5,9,8,,,0,721,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,N,0,N,,0,,Y,8,10,2035,,Y,69,G,7,144.72
08,       0401-SV3,1,6,8,00000,0,00,109,32100,'Franklin Eddy Canal',,'G Road','Road G off of Highway 17',99.99,0,0,,0,37501313,105513607,10,3,69,69,06,1985,2,0,15,2007,5,5.2,0,0,0,1,0,0,0,5,0,0,0,A,1,5,2,01,0,00,3,0,10.1,2.4,11.1,0.3,0.3,10.2,10.8,99.99,N,0,N,0,0,7,7,7,8,N,1,45,1,32.4,7,9,N,5,9,8,,,0,721,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,N,0,N,,0,,Y,8,15,2035,,Y,69,G,7,119.88
08,       0405-100,1,4,8,00022,0,00,083,00000,'Dove Creek Canal Reach 1',,'County Road 22','Yellow Jacket  Colorado',99.99,0,0,,0,37314799,108383600,3,3,02,69,06,1985,2,0,20,2006,6,7.3,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,01,0,00,1,0,7.3,15.2,15.8,0.4,0.4,7.3,8.1,99.99,N,0,N,0,0,7,7,7,7,N,8,28.8,8,22.4,6,6,N,5,8,7,,,0,1221,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,5,20,2035,,Y,69,G,7,127.98
