STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
09, 00001         ,1,1,1,00095,0,03,001,33620,'FOX ISLAND ROAD  BYRAM R',,'RTE I95','I95 AT N Y STATE LINE',99.99,0,1,,,40593441,073393977,0,2,31,31,11,1956,6,4,58294,2018,6,29.6,2,21,0,1,1,1,1,4,1,18.3,48.8,A,1,6,4,03,3,02,3,13,14.8,64.6,385,0,0,29.6,31.4,99.99,H,7.62,H,0.9,0,5,6,6,8,N,1,53.5,1,32.7,6,9,3,5,8,8,34,1,384.9,821,24,Y24,Y60,N  ,0821,0816,,42575,24932,67506,2021,362,66,000000005514829,1,N,2,,1,0,1980,1,6,9,0,9,1,2,Y,8,86619,2038,,N,09,F,5,12089
09, 00002         ,1,1,1,00095,0,03,001,33620,'RIVER AVENUE',,'INTERSTATE-95','0.2 MI EAST OF NY LINE',99.99,0.274,1,,,40594718,073392645,5,3,01,01,11,1958,6,2,130800,2017,5,32.9,3,0,0,1,0,0,1,5,N,0,0,A,1,1,3,02,0,00,1,0,16.4,15.9,17.4,0,0,32.8,34.8,99.99,H,4.65,H,4,0,6,7,6,N,N,8,78.1,8,60.3,6,9,6,5,N,8,,,,1120,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,1996,1,6,1,1,9,1,,Y,N,194356,2037,0,N,09,F,6,605.52
09, 00003         ,1,5,0,00000,0,03,001,33620,'INTERSTATE-95',,'JAMES STREET','0.4 MI N OF NEW YORK',99.99,0.097,0,,,40595631,073391664,2,3,01,01,19,1958,2,6,1840,2020,5,9.1,0,23,0,1,0,0,0,5,N,0,0,A,5,1,3,02,0,00,2,0,9.1,27.4,56.4,3,3,9.1,16,99.99,H,4.39,H,5.9,0.5,6,5,6,N,N,8,50.9,8,39.2,5,5,3,5,N,8,,,,120,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,,1,6,2,0,2,0,,Y,N,2734,2040,0,N,09,F,5,902.4
09, 00004         ,1,1,1,00095,0,03,001,33620,'DELAVAN AVENUE',,'INTERSTATE-95','I-95 EXIT NO. 2',99.99,1.255,1,,,41001268,073390103,2,3,01,01,11,1958,6,4,116400,2017,5,36.3,3,27,0,1,0,0,1,5,N,0,0,A,1,1,3,02,0,00,2,0,18.1,15.5,32.9,0,0,36.3,38.9,99.99,H,4.42,H,3,1.3,6,5,6,N,N,8,35.6,8,27.2,5,9,6,5,N,8,,,,421,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,,1,6,2,0,9,1,,Y,N,172959,2037,0,N,09,F,5,1279.81
09, 00005         ,1,1,1,00095,0,03,001,33620,'RITCH AVENUE',,'INTERSTATE-95','RITCH AV.5 MILE E OF EX.2',99.99,2.06,1,,,41003408,073384154,5,3,01,01,11,1958,6,2,131100,2017,4,36.3,3,18,0,1,0,0,1,5,N,0,0,A,1,1,3,02,0,00,1,0,18.1,20.1,21.4,0,0,36.3,38.9,99.99,H,4.32,H,3,0,6,6,6,N,N,8,63.2,8,48.6,6,9,4,5,N,8,,,,1120,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,,1,6,2,0,7,1,,Y,N,194801,2037,,N,09,F,6,832.46
09, 00006         ,1,1,1,00095,0,03,001,33620,'FIELD POINT ROAD',,'INTERSTATE-95','0.3 MI EAST OF EXT 3',99.99,3.557,1,,,41010830,073375680,5,3,01,01,11,1958,6,2,127400,2017,5,36,3,28,0,1,0,0,1,5,N,0,0,A,1,1,3,02,0,00,1,0,17.7,18.2,19.8,0,0,35.4,39,99.99,H,4.37,H,3,0,6,7,7,N,N,1,86,1,51.6,7,9,5,5,N,8,,,,421,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,1985,1,6,2,0,7,1,,Y,N,189304,2037,0,N,09,F,6,772.2
09, 00007         ,1,1,1,00095,0,03,001,33620,'SHORE ROAD # 1',,'INTERSTATE-95','WEST OF EXIT 3',99.99,3.862,1,,,41010975,073374424,5,3,01,01,11,1958,8,2,109200,2020,5,31.1,3,14,1,1,0,0,1,4,N,0,0,A,1,1,3,02,0,00,1,0,21.6,20,21.1,0,0,41.9,44.9,99.99,H,5.11,H,4.4,0,6,7,6,N,N,8,53.1,8,40.8,6,9,9,5,N,8,,,,1121,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,1993,1,6,2,0,9,1,,Y,N,162260,2040,,N,09,F,6,947.39
09, 00008         ,1,1,1,00095,0,03,001,33620,'HORSENECK CREEK',,'INTERSTATE-95','NEAR EXIT 3',99.99,3.911,1,,,41010985,073374225,2,3,01,01,11,1958,8,0,101800,2020,4,41.5,3,26,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,00,1,0,20.7,7.3,7.3,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,5,0,99.9,0,99.9,5,N,N,5,9,8,,,,1221,24,N  ,Y24,N  ,,1221,,,,,,,,               ,1,N,2,,1,0,,N,N,N,N,7,1,,Y,8,151265,2040,0,N,09,F,5,302.95
09, 00009         ,1,1,1,00095,0,03,003,33620,'ARCH STREET',,'INTERSTATE 95','ROUTE I 95  EXIT 3',99.99,4.088,1,,,41011079,073373462,0,3,01,01,11,1958,6,5,117800,2017,5,29.6,3,18,0,1,0,0,1,4,N,0,0,A,1,1,3,02,0,00,1,0,18,20,21.5,0,0,36,38.9,99.99,H,4.24,H,1.5,0,7,7,6,N,N,1,95.6,1,57.4,6,9,3,5,N,8,,,,220,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,,1,6,2,0,9,1,,Y,N,175039,2037,0,N,09,F,6,836.35
09, 00010         ,1,1,1,00095,0,03,001,33620,'STEAMBOAT ROAD',,'INTERSTATE-95','0.1 MI N OF EXIT NO. 3',99.99,4.313,1,,,41011313,073372585,2,3,01,01,11,1958,8,2,117800,2017,4,29.3,3,9,1,1,0,0,1,5,N,0,0,A,1,1,3,02,0,00,1,0,26.3,19.2,20.7,0,0,45.9,49,99.99,H,4.37,H,4.9,0,7,7,6,N,N,1,88.9,1,53.5,6,9,5,5,N,8,,,,320,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,,1,6,2,0,9,1,,Y,N,175039,2037,0,N,09,F,6,1014.3
