STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
11,0001           ,1,5,1,00000,0,01,001,00000,'POTOMAC R. & C&O',,'CHAIN BRIDGE','OVER POTOMAC RIVER  N.W.',99.99,0,,,,38554636,077070228,16,3,01,01,14,1937,3,0,21800,2006,5,10.7,0,0,0,1,1,1,1,3,0,30.2,12.2,A,5,5,4,03,0,00,8,0,9.1,52.4,421.5,2.1,0,10.7,13.6,99.99,N,99.99,N,99.9,30.4,7,7,6,7,N,1,60.8,1,36.3,6,2,N,5,8,6,,,0,120,24,Y24,Y60,N  ,0120,0521,,0,0,0,,513,,000000000000228,0,N,2,,1,0,1983,1,3,0,1,2,0,1,Y,5,22500,2026,,N,11,F,6,5732.4
11,0002           ,1,5,1,00000,0,01,001,00000,'C&O CANAL',,'WISCONSIN AVENUE','GEORGETOWN & C&O',99.99,0,0,,,38541552,077034592,2,3,01,01,17,1831,2,0,7400,2006,0,10.4,0,0,0,0,N,N,N,1,0,0,0,A,5,5,8,11,0,00,1,0,10.4,16.5,18.3,2,2,10.4,15.5,99.99,N,0,N,0,0,6,6,6,7,N,1,67.1,1,39.9,6,4,N,5,7,7,,,0,1221,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,1,N,2,,0,0,2006,1,1,0,1,1,0,,Y,8,8500,2026,0,N,11,F,6,283.65
11,0003           ,1,5,1,00000,0,01,001,00000,'C&O CANAL',,'31ST STREET N.W.','GEORGETOWN & C&O',99.99,0,0,,,38541561,077034604,2,3,01,01,19,1900,2,0,1000,2007,A,7.3,0,0,0,1,N,N,N,5,1,3,6,A,5,5,3,02,0,00,1,0,7.3,16.6,16.6,3.9,3,7.3,14.8,99.99,N,0,N,0,0,8,8,8,8,N,F,46,F,35.3,8,4,N,5,8,8,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,2021,1,1,0,1,1,0,2,Y,5,1000,2027,0,N,11,G,8,245.68
11,0004           ,1,5,1,00000,0,01,001,00000,'C&O CANAL',,'JEFFERSON ST  N.W.','GEORGETOWN & C&O',99.99,0,0,,,38541504,077033654,2,3,01,01,19,1929,1,0,1000,2007,5,4,0,6,0,1,N,N,N,2,1,3,5,A,5,5,3,02,0,00,1,0,4,11,12.5,2,2,4,8.5,99.99,N,0,N,0,0,8,8,8,6,N,2,89.8,2,80.7,8,2,N,5,8,8,,,0,1020,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,1,,0,0,2013,1,1,0,1,1,0,,Y,9,1000,2027,0,N,11,G,8,106.25
11,0005           ,1,5,1,00000,0,01,001,00000,'C&O CANAL',,'30TH STREET  N.W.','GEORGETOWN & C&O',99.99,0,0,,,38541513,077033287,2,3,01,01,19,1929,1,0,1000,2007,5,9.1,0,7,0,1,N,N,N,2,0,3,4,A,5,5,3,02,0,00,1,0,4.2,11,12.5,2,2,4.2,8.8,99.99,N,0,N,0,0,8,7,8,6,N,2,89.8,2,80.7,7,2,N,5,6,8,,,0,1020,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,2013,1,1,0,1,1,0,,Y,9,1000,2027,0,N,11,G,7,110
11,0006           ,1,5,1,00000,0,01,001,00000,'C&O CANAL',,'29TH STREET  N.W.','GEORGETOWN & C&O',99.99,0,,,,38541425,077032908,2,3,01,01,19,1900,2,0,1000,2007,5,7.3,0,8,0,1,N,N,N,5,0,3,1.8,A,5,5,3,02,0,00,1,0,7.4,11,11,0,2,7.3,9.8,99.99,N,0,N,0,0,7,8,8,6,N,1,89.8,2,80.7,8,4,N,5,8,8,,,0,1020,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,2013,9,6,0,0,1,0,1,Y,9,1000,2027,,N,11,G,7,107.8
11,0007           ,1,2,1,00029,0,01,001,00000,'WHITEHURST FRWY',,'Key Bridge','WHITEHURST FRWY',99.99,0,,,,38541665,077040777,6,3,01,01,14,1925,6,4,62000,2020,5,20.1,0,0,0,1,0,0,0,1,1,22,63,A,5,6,1,11,0,00,8,0,20.1,63.4,529.9,3.1,3.1,20.1,27.4,99.99,H,4.38,H,2.4,1.5,5,6,6,8,N,1,54.4,1,33.6,6,2,5,5,9,8,,,0,521,24,N  ,Y60,N  ,,0521,,0,0,0,,513,,000000000000152,0,N,2,,1,0,1986,1,1,0,1,3,0,1,Y,5,65000,2040,0,N,11,F,5,14519.26
11,0007(EAST RAMP),1,2,7,00029,0,01,001,00000,'STORAGE YD NEAR POTOMAC',,'E RAMP TO WH FRWY','KEY BRIDGE OVER POTOMAC R',99.99,0,,,,38541382,077040498,0,3,01,01,12,1956,1,0,20000,2007,5,6.7,0,99,1,1,N,N,N,5,N,0,0,A,1,0,2,02,0,00,7,0,6.7,13.4,86,0,0,6.7,8.1,99.99,N,0,N,0,0,7,6,6,N,N,2,56.2,2,33.6,6,6,N,5,N,5,,,0,1221,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,1,,1,0,2007,1,1,0,1,3,0,1,Y,N,30000,2030,0,N,11,F,6,696.6
11,0010           ,1,2,1,00000,0,01,001,00000,'VIRGINIA AVENUE  N.W.',,'23RD STREET  N.W.','VA. AVE. OVER 23RD ST.',99.99,0,,,,38535004,077030044,2,3,01,01,14,1942,5,4,20500,2007,5,20.7,0,35,0,0,N,N,N,5,N,0,0,A,5,1,3,02,0,00,2,0,20.7,10.1,20.7,0,3,26.2,43.9,99.99,H,4.17,H,1.1,0.7,6,6,6,N,N,1,72.6,1,43.5,6,9,3,5,N,8,,,0,1121,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,1,0,2002,1,1,0,1,2,0,,Y,N,20500,2026,0,N,11,F,6,908.73
11,0011           ,1,5,1,00000,0,01,001,00000,'SOUTH CAPITOL STREET',,'M STREET  S.W.','M STREET &amp; S. CAPITOL',99.99,0,,,,38523522,077003325,2,3,01,01,16,1959,6,4,20500,2007,5,22.6,0,0,0,0,N,N,N,5,N,0,0,A,5,1,3,02,0,00,1,0,22.6,18.9,19.8,3.5,7.4,22.6,34.1,99.99,H,4.32,H,0.6,0.2,5,5,6,N,N,1,51.7,1,30.8,5,4,3,5,N,8,,,0,1021,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1988,1,3,0,1,2,0,,Y,N,22000,2026,0,N,11,F,5,675.18
