STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
66,        1GU0703,1,8,0,00000,0,00,010,31300,'UNNAMED STREAM',,'WITHINGTON RD','300M N OF NORTON RD',99.99,0,0,,,13225826,144421442,2,3,73,73,09,1983,2,0,10,2012,5,7.3,0,0,0,1,0,1,0,5,0,0,0,P,1,5,1,02,0,00,1,0,8.1,10.8,10.8,0.4,0.4,8.2,9.1,99.99,N,0,N,0,0,7,6,6,8,N,8,32.4,8,24.9,6,6,N,5,7,6,38,1,10.7,821,24,N  ,N  ,N  ,,,,0,14,14,2021,,,               ,0,N,2,,0,0,0,1,1,0,0,25,0,,Y,5,10,2041,,Y,73,F,6,98.28
66,        1GU0705,1,8,0,00000,0,00,010,31300,'TALISAY RIVER',,'SMITH RD','230 M N OF DEALY RD',99.99,0,0,,,13222846,144420472,2,3,73,73,09,1944,1,0,15,2012,0,6.8,0,0,0,1,0,1,0,5,0,0,0,P,1,5,7,02,0,00,2,0,4.5,9.1,18,0,0,4.5,6.8,99.99,N,0,N,0,0,8,8,7,6,N,8,10.7,8,8.4,3,6,N,0,7,8,38,1,40.3,821,24,N  ,N  ,N  ,,,,2,25,27,2021,,,               ,0,N,3,,0,0,2020,8,7,0,0,25,0,,Y,5,20,2040,,Y,73,G,7,122.4
66,        1GU0735,1,8,0,00000,0,00,010,31300,'MAEMONG RIVER',,'FIRE BREAK RD','800 M FROM NORTON LOOP',99.99,0,0,,,13223468,144424612,16,3,73,73,09,1959,1,0,10,2012,0,5.2,0,0,0,1,0,0,0,5,0,0,0,P,1,5,3,09,0,00,1,0,7.5,9.8,9.8,0,0,4.1,5,99.99,N,0,N,0,0,5,4,5,6,N,8,10.7,8,8.4,3,5,N,0,5,6,38,1,9.8,821,24,N  ,N  ,N  ,,,,86,15,101,2021,,,               ,0,N,3,,0,0,1985,8,7,0,0,10,0,,Y,5,20,2041,,Y,73,P,4,49
66,        1GU0736,1,8,0,00000,0,00,010,31300,'MAAGAS RIVER',,'FIRE BREAK RD','460 M E OF FENA RESERVOIR',99.99,0,0,,,13213553,144423957,17,3,73,73,09,1959,1,0,10,2012,5,2.7,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,4.2,5,7.4,0,0,4.2,5.7,99.99,N,0,N,0,0,7,6,6,5,N,8,12.3,8,12.3,4,5,N,0,6,8,38,1,7.3,821,24,N  ,N  ,N  ,,,,35,30,65,2021,,,               ,0,N,3,,0,0,1985,9,7,0,0,25,0,,Y,5,15,2040,,Y,73,F,6,42.18
66,        1GU0737,1,8,0,00000,0,00,010,31300,'MAULAP RIVER',,'DISPOSAL RD','390 M FROM LOWER KITTS RD',99.99,0,0,,,13211532,144414514,18,3,73,73,09,1957,1,0,10,2012,4,3.8,0,0,0,0,0,1,0,5,0,0,0,P,1,5,1,02,0,00,1,0,4,8.8,9.1,0.4,0,4,4.9,99.99,N,0,N,0,0,4,7,6,5,N,8,10.4,8,8.1,3,5,N,0,5,6,38,1,9.1,821,24,N  ,N  ,N  ,,,,10,76,86,2021,,,               ,0,N,3,,0,0,1991,8,7,0,0,25,0,,Y,4,15,2040,,Y,73,P,4,44.59
66,        1GU0772,1,8,0,00000,0,00,010,31300,'UNNAMED STREAM',,'STROOP ROAD','240 M S OF DEALY RD',99.99,0,0,,,13221381,144421696,2,3,73,73,09,1960,2,0,10,2012,0,6.4,0,0,0,N,N,1,0,5,0,0,0,P,1,5,1,19,0,00,2,0,15.8,3.1,6.5,0,0,0,0,99.99,N,0,N,0,0,N,N,N,5,6,8,36.9,8,28.5,6,N,N,5,4,8,38,1,6.6,821,24,N  ,N  ,N  ,,,,13,7,20,2021,,,               ,0,N,2,,0,0,0,N,N,N,N,25,0,,Y,5,30,2040,,Y,73,F,6,41.6
66,        1GU0773,1,8,0,00000,0,00,010,31300,'BONNA RIVER',,'STROOP LOOP','76 M S OF HARMON RD',99.99,0,0,,,13221410,144420110,2,3,73,73,09,1960,2,0,10,2012,5,6.7,0,0,0,1,0,1,0,4,0,0,0,P,1,5,1,01,0,00,1,0,9.1,9.1,9.1,0,0,9.1,9.8,99.99,N,0,N,0,0,7,7,7,7,N,8,48.9,8,37.9,7,7,N,5,9,6,38,1,9.1,821,24,N  ,N  ,N  ,,,,4,13,17,2021,,,               ,0,N,2,,0,0,2006,1,1,0,0,25,0,,Y,5,30,2041,,Y,73,G,7,89.18
66,        1GU0777,1,8,0,00000,0,00,010,31300,'UNNAMED STREAM',,'HARMON RD','23 M N OF DEALY RD',99.99,0,0,,,13223408,144413922,3,3,73,73,09,1945,2,0,125,2012,0,7,0,0,0,1,N,0,0,5,0,0,0,P,5,5,1,19,0,00,2,0,10.5,3.1,7.2,1.2,0,0,15.7,99.99,N,0,N,0,0,N,N,N,8,6,8,42.1,8,35.6,6,N,N,5,7,8,38,1,7.3,821,24,N  ,N  ,N  ,,,,9,14,23,2021,,,               ,0,N,2,,0,0,2006,N,N,N,N,25,0,,Y,5,175,2041,,Y,73,F,6,113.04
66,        1GU0778,1,8,0,00000,0,00,010,31300,'TALISAY RIVER',,'NORTON RD','180 M SE OF DEALY RD',99.99,0,0,,,13224280,144422241,2,3,73,73,09,1960,2,0,15,2012,0,6.7,0,0,0,N,N,0,0,5,0,0,0,P,1,5,1,19,0,00,2,0,8.9,3.1,6.4,0,0,0,19.5,99.99,N,0,N,0,0,N,N,N,6,6,8,35.3,8,27.2,6,N,N,5,7,8,38,1,7.3,821,24,N  ,N  ,N  ,,,,1,27,28,2021,,,               ,0,N,2,,0,0,0,N,N,N,N,25,0,,Y,5,15,2040,,Y,73,F,6,124.8
66,        1GU5811,1,8,0,00000,0,00,010,31300,'CHALOT RIVER',,'SMITH RD','1.9 M S OF HIGHWAY 1',99.99,0,0,,,13271496,144453591,199,3,73,73,09,1946,1,0,10,2012,5,4,0,0,0,1,0,0,0,5,0,0,0,P,1,5,5,04,0,00,1,0,4,10.9,10.9,0,0,3.4,4,99.99,N,0,N,0,0,7,7,7,6,N,8,9.1,8,6.8,3,3,N,0,6,3,38,1,10.9,821,24,N  ,N  ,N  ,,,,6,14,20,2021,,,               ,0,N,3,,0,0,2005,1,1,0,0,10,0,,Y,5,15,2040,,Y,73,G,7,43.6
66,66180000000G042,1,8,0,00000,0,00,010,00000,'Ylig River',,'Chalan Aguon','0.73mi WofJCT Rte4',99.99,0,,,,13233571,144453839,0,3,01,01,09,1985,2,0,500,2014,5,7.6,0,0,0,1,0,0,0,5,0,0,0,A,5,5,1,02,0,00,1,0,12.2,24.4,25.8,0,0,12.2,13,99.99,N,0,N,0,0,6,8,8,7,N,8,35,8,26.9,6,8,N,5,7,3,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,NA             ,0,N,2,,0,0,0,2,1,0,0,2,0,1,Y,U,1000,2030,0,N,66,F,6,335.4
66,66180000000G051,1,5,0,00000,0,00,010,00000,'Tailagan River',,'Tailagan Road','1.4KM Eof LeoPalace Res',99.99,0,,,,13245500,144450000,6,3,01,01,08,1988,2,0,300,2021,A,11.2,0,0,0,0,0,0,0,5,N,0,0,B,5,5,3,02,0,00,1,0,11.2,25.4,25.4,1.5,1.5,11.2,14.8,99.99,N,0,N,0,0,6,6,6,7,N,8,14.9,8,11.3,4,9,N,0,9,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,,NA             ,0,N,2,,0,0,0,1,0,0,0,4,0,1,Y,U,4000,2030,0,N,66,F,6,375.92
66,66181000000G028,1,5,0,00000,0,00,010,00000,'Asan River',,'Ramona Street','.16KM S of RTE1',99.99,0,,,,13281753,144425020,0,3,01,01,17,1985,2,0,1000,2014,5,6.7,0,0,0,0,N,N,N,5,0,0,0,A,5,5,5,01,0,00,1,0,6.7,6,6.7,0.9,0.9,6.7,9.1,99.99,N,0,N,0,0,6,7,7,6,N,8,34,8,26.2,6,4,N,5,9,6,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,NA             ,0,N,2,,0,0,0,2,1,0,0,3,0,,Y,U,20000,2030,0,N,66,F,6,60.97
66,66181000000G029,1,8,1,00000,0,00,010,00000,'Asan River',,'Jose Leon Guererro','.10KM E of Tydingco and J',7.01,0,,,,13281570,144425350,1,3,01,01,17,1985,2,0,2000,2014,5,13.6,0,23,0,0,N,N,N,5,0,0,0,A,5,5,5,05,0,00,1,0,13.6,14.1,14.9,2.1,2.1,13.6,18.6,99.99,N,0,N,0,0,7,7,7,6,N,8,48,8,36.9,7,9,N,5,9,6,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,NA             ,0,N,2,,0,0,0,1,1,0,0,3,0,1,Y,U,4000,2030,0,N,66,G,7,277.14
66,66181000000G038,1,8,3,00000,0,00,010,00000,'Masso River',,'Assumption Dr','.35KM NE of RTE1 and 6',99.99,0,,,,13273700,144413200,0,3,01,01,19,1970,2,0,1000,2014,5,7.4,0,17,0,0,N,N,N,5,0,0,0,P,5,5,1,04,0,00,1,0,7.4,9.6,11.9,1.4,1.4,7.4,10.8,99.99,N,0,N,0,0,7,7,7,6,N,8,23.7,8,18.5,5,4,N,3,4,6,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,NA             ,0,N,2,,0,0,0,1,6,0,0,1,0,,Y,U,4000,2030,0,N,66,G,7,128.52
66,66181000000G039,1,8,2,000NA,0,00,010,00000,'Asan River',,'Jose Leon Guererro','.22 KM S of Rte 1 and JL',99.99,0,0,,,13281570,144425350,0,3,01,01,17,1985,2,0,2000,2014,5,13.4,0,12,0,1,N,N,N,5,0,0,0,A,5,5,5,05,0,00,1,0,13.4,16.2,16.8,2.1,2.1,13.4,18.3,99.99,N,0,N,0,0,7,7,7,7,N,8,45.4,8,35,7,8,N,5,9,6,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,NA             ,0,N,2,,0,0,0,1,1,0,0,3,0,1,Y,U,17000,2030,0,N,66,G,7,307.44
