STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
15,        1HI0072,1,8,0,00000,0,04,003,00000,'DRAINAGE DITCH',,'EDISON ST','1 KM E. OF MACAONI ST',99.99,0,0,,,21260228,158084083,199,3,73,73,09,1940,1,0,50,2017,0,4,0,0,0,N,N,N,N,5,N,0,0,A,1,5,1,19,0,00,4,0,5.9,4.6,13.9,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,4,0,54.5,0,32.6,4,N,N,5,8,8,38,1,14.5,521,24,N  ,N  ,N  ,,,,134,2,136,2021,,,               ,0,N,3,,0,0,1960,N,N,N,N,10,0,,Y,5,55,2039,,Y,73,P,4,55.6
15,        1HI0076,1,6,0,00000,0,25,003,00000,'WAIAWA STREAM',,'PUMP STATION RD','365M NW OF WAIHONA PL',99.99,0,0,,,21245041,157581438,1,3,73,73,09,1949,2,0,5,2017,0,7.3,0,0,0,0,0,0,0,4,0,0,0,A,1,5,3,02,0,00,3,0,7.3,13.7,31.8,0.3,0.3,7.3,7.9,99.99,N,0,N,0,0,6,5,6,7,N,1,60.6,1,36.3,5,6,N,5,7,8,35,1,31.8,521,24,N  ,N  ,N  ,,,,25,48,74,2021,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,,Y,5,10,2039,,Y,73,F,5,251.22
15,        1HI0098,1,6,1,00000,0,15,007,35600,'KINI KINI STREAM',,'KALANAMAHIKI PL','PACIFIC MISSILE RANGE FAC',99.99,0,0,,,22005830,159465300,9,3,73,73,09,1960,2,0,800,2014,5,7.9,0,25,0,0,0,0,0,5,0,0,0,A,1,5,2,01,0,00,2,0,7.3,7.4,14.8,0.3,0.3,7.3,7.9,99.99,N,0,N,0,0,7,7,6,6,N,1,54.7,1,32.7,6,4,N,5,7,8,35,1,14.8,521,24,N  ,N  ,N  ,,,,17,60,76,2021,,,               ,0,N,2,,0,0,0,1,0,0,0,25,0,1,Y,5,800,2031,0,Y,73,F,6,116.92
15,        1HI0277,1,6,1,00000,0,00,003,46100,'MAILIILII STREAM',,'MARCONI STREET','1.9 KM N OF TOWER RD',99.99,0,0,,,21261598,158090720,2,3,73,73,09,1960,2,0,80,2014,5,8.2,0,0,0,0,N,0,N,5,0,0,0,A,1,5,6,02,0,00,4,0,7.1,10.7,42.6,0.4,0,7.1,8.3,99.99,N,0,N,0,0,6,6,5,6,N,1,63.1,1,28.3,5,5,N,5,6,8,35,1,42.7,521,24,N  ,N  ,N  ,,,,34,97,131,2021,,,               ,0,N,2,,0,0,0,1,0,0,0,25,0,,Y,5,80,2031,0,Y,73,F,5,353.58
15,        1HI0320,1,6,1,00000,0,00,003,63275,'PEARL HARBOR',,'FORD ISLAND ROAD','3.0KM SOUTH OF PEARL CITY',99.99,0,0,,,21220850,157564140,199,3,73,73,06,1998,2,2,7000,2014,5,12.2,0,0,1,1,1,1,1,5,1,9.6,30.5,A,5,6,3,15,5,02,3,30,12.2,76.2,1424.3,1.2,0,12.2,14.1,99.99,N,0,N,0,0,5,6,5,7,N,1,44.6,1,26.7,5,5,N,5,9,6,35,1,1424.3,521,24,Y24,Y60,Y72,0521,0521,0418,406,166,572,2021,,,               ,0,N,2,,0,0,0,1,1,0,1,15,0,2,Y,5,7500,2031,0,Y,73,F,5,20082.63
15,        1HI0453,1,8,0,00000,0,04,003,00000,'RAVINE',,'KOLEKOLE ROAD','6.9 KM EAST OF MAIN GATE',99.99,0,0,,,21280630,158073270,199,3,73,73,09,2013,1,0,10,2017,5,6.4,0,0,0,0,0,0,0,5,N,0,0,A,1,0,3,10,0,00,1,0,4.1,36.6,36.9,0,0,4.1,6.6,99.99,N,0,N,0,0,8,8,7,N,N,3,53.9,3,41.5,7,5,N,5,N,3,38,1,36.9,521,24,Y24,N  ,N  ,0521,,,1,90,91,2021,,,               ,0,N,3,,0,0,0,5,5,N,N,1,0,,Y,N,11,2039,,Y,73,G,7,243.54
15,        1HIH201,1,6,1,00000,0,00,003,00000,'UNNAMED STREAM',,'KOLEKOLE RD','NAVAL MAGAZINE  LUALUALEI',99.99,0,0,,,21272400,158075499,1,3,73,73,09,1938,2,0,200,2014,0,6.1,0,19,0,0,0,0,N,5,0,0,0,P,1,5,3,02,0,00,1,0,6.1,10,10,0.2,0.2,6.1,6.4,99.99,N,0,N,0,0,5,5,5,5,N,1,33.7,1,20.2,5,4,N,4,4,8,35,1,14.6,521,24,N  ,N  ,N  ,,,,32,57,89,2021,,,               ,0,N,2,,0,0,0,1,6,0,0,10,0,1,Y,5,200,2031,0,Y,73,F,5,64
15,        2HI0706,1,6,8,00000,0,00,003,00000,'CANAL',,'BELLOWS ROAD','BELLOWS AIR FORCE BASE',99.99,0,0,,,21214134,157425680,199,3,73,73,19,1952,2,0,10,2015,0,4.3,0,14,0,0,0,0,0,4,0,0,0,A,1,5,1,19,0,00,5,0,9.1,3.5,15.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,5,0,54.5,0,32.7,5,N,N,5,8,8,38,1,15,521,24,N  ,N  ,N  ,,,,70,22,92,2021,,,               ,0,N,2,,0,0,0,N,N,N,N,5,0,,Y,5,15,2037,0,Y,73,F,5,66.22
15,        2HI1541,1,6,1,00000,0,00,003,00000,'CANAL',,'MOKAPU ROAD','0.2 KM EAST OF G STREET',99.99,0,0,,,21263774,157450261,3,3,73,73,19,1953,4,0,4000,2015,4,11.3,0,5,0,0,0,0,0,4,0,0,0,A,5,5,1,19,0,00,2,0,14.6,3.2,6.3,2.4,1.5,14.6,19.9,99.99,N,0,N,0,0,N,N,N,7,5,1,39.2,1,23.5,5,2,N,5,8,8,38,1,6.3,521,24,N  ,N  ,N  ,,,,15,11,26,2021,,,               ,0,N,2,,0,0,0,N,N,N,N,5,0,,Y,5,5000,2037,0,Y,73,F,5,125.37
15,        2HI1552,1,6,1,00000,0,00,003,00000,'CANAL',,'3RD STREET','0.2 KM EAST OF G STREET',99.99,0,0,,,21261980,157451160,3,3,73,73,19,1952,2,0,2000,2015,4,11.1,0,24,0,0,0,0,0,4,0,0,0,A,5,5,1,19,0,00,2,0,11.1,4.1,8.2,2.4,0.9,11.1,15,99.99,N,0,N,0,0,N,N,N,7,5,1,52.6,1,31.4,5,6,N,5,8,6,38,1,8.2,521,24,N  ,N  ,N  ,,,,10,34,44,2021,,,               ,0,N,2,,0,0,0,1,N,N,N,5,0,,Y,5,2500,2037,0,Y,73,F,5,123
