STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
16,       15AND001,1,6,8,00000,0,00,039,00000,'ANDERSON RANCH DAM SPWY',,'Dam Crest Road','ANDERSON RANCH DAM',99.99,0,0,,0,43212752,115265708,110,3,69,69,09,1950,2,0,50,2021,5,7.6,0,0,0,1,N,N,N,5,0,0,0,A,1,5,1,04,0,00,2,0,7.6,7.6,16.8,0,0,7.6,8.2,99.99,N,0,N,0,0,7,7,7,8,N,1,49.9,1,29.9,7,2,N,5,9,5,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,1,,0,0,0,1,0,0,0,15,0,,Y,8,50,2041,,Y,69,G,7,137.76
16,       15CAS001,1,8,8,00000,0,00,085,00000,'CASCADE DAM SPILLWAY',,'Dam Road','CASCADE DAM',99.99,0,0,,0,44312867,116025849,3,3,69,69,09,1947,1,0,100,2020,4,6.7,0,0,0,1,N,N,N,3,0,0,0,P,1,5,3,02,0,00,2,0,3.7,6.8,14.6,0.2,0.2,3.7,4,99.99,N,0,N,0,0,6,7,7,7,N,2,40.1,2,28,7,4,N,5,9,4,,,0,720,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,8,0,0,0,0,0,,Y,8,150,2040,,Y,69,F,6,58.4
16,       15CAS002,1,8,8,00000,0,00,085,00000,'NORTH FORK PAYETTE RIVER',,'LAKE WAY','DOWNSTREAM OF CASCADE DAM',99.99,0,0,,0,44312893,116024705,8,3,69,69,09,1913,1,0,100,2020,0,7.6,0,0,0,1,1,1,1,2,0,0,0,A,1,5,3,02,0,00,1,0,3.7,29.8,31.6,0.3,0.3,3.7,4.3,99.99,N,0,N,0,0,7,7,5,7,N,8,17.2,8,13.3,4,4,N,5,7,4,,,0,720,24,Y24,N  ,N  ,0720,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,10,0,,Y,4,100,2040,,Y,69,F,5,135.88
16,      14MIN1001,1,4,0,00000,0,00,067,00000,'Main Northside Canal',,'400 North Road','4.0 N 9.3E. RUPERT',99.99,169.106,0,,0,42403521,113292036,25,3,69,69,09,1980,2,0,120,2021,5,7.9,0,36,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,1,0,7.9,23.9,24.5,0.4,0.4,7.9,8.8,99.99,N,0,N,0,0,8,8,8,7,N,1,52.7,1,31.6,7,5,N,5,9,8,,,0,321,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,0,0,,Y,8,120,2041,,Y,69,G,8,215.6
16,      14PALRIVR,1,6,8,00000,0,00,019,00000,'South Fork of the Snake',,'Forest Road 277','PALISADES DAM',99.99,0,0,,0,43202380,111122556,40,3,69,69,09,2012,2,0,100,2021,A,8.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,3,0,8.5,35.5,94.5,0,0,8.5,9.3,99.99,N,0,N,0,0,7,7,8,8,N,8,46.7,8,36,7,7,N,5,9,8,,,0,821,24,N  ,Y60,N  ,,1121,,0,0,0,,,,               ,0,N,2,,0,2,0,1,0,0,0,10,0,,Y,8,100,2041,,Y,69,G,7,878.85
16,      14RIR1003,1,6,8,00000,0,00,019,00000,'SAND CREEK CHANNEL',,'CANAL ROAD','RIRIE DAM',99.99,0,0,,0,43342742,111533994,4,3,69,69,09,1976,1,0,3,2021,0,3,0,0,0,1,N,N,N,5,0,0,0,A,1,5,2,01,0,00,2,0,3,3.7,8.4,0,0,3,4,99.99,N,0,N,0,0,8,8,7,8,N,1,47.6,1,28.5,7,2,N,5,8,5,,,0,321,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,0,0,,Y,8,3,2041,,Y,69,G,7,33.6
16,      14RIR1004,1,6,8,00000,0,00,019,00000,'RIRIE OUTLET CH WILLW CR',,'CANAL ROAD','RIRIE OUTLET CHANNEL',99.99,0,0,,0,43342929,111534292,6,3,69,69,09,1976,1,0,3,2021,0,3.7,0,0,0,1,N,N,N,5,0,0,0,A,1,5,2,01,0,00,2,0,3,3.7,8.4,0,0,3,4,99.99,N,0,N,0,0,8,8,7,8,N,1,47.6,1,28.5,7,2,N,5,8,5,,,0,321,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,0,0,,Y,8,3,2041,,Y,69,G,7,33.6
16,00000000000H311,1,6,1,00904,0,01,073,53600,'OWYHEE RIVER',,'IRR BIA RTE 904','17.4 KM NW OF OWYHEE',99.99,16.1,0,0000000000,0,42020110,116130980,18,3,62,62,09,1987,2,0,20,2021,6,5.2,0,0,0,1,0,1,1,5,0,0,0,A,1,5,5,02,0,00,1,0,8.6,35.7,36.3,0.5,0.5,8.6,9.6,99.99,N,0,N,0,0,7,8,7,7,N,2,51.8,2,40,7,7,N,5,6,8,,,0,1021,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,10,0,,Y,8,24,2039,0,Y,62,G,7,348.48
16,00000000000H312,1,6,1,00901,0,01,073,53600,'OWYHEE RIVER',,'IRR BIA RTE 901','9.8 KM NW OWYHEE AGENCY',99.99,3.219,0,0000000000,0,42004302,116093783,18,3,62,62,08,1987,2,0,20,2019,6,4.6,0,0,0,1,0,1,1,5,0,0,0,A,1,5,5,02,0,00,1,0,8.6,34.4,35.1,0.5,0.5,8.6,9.6,99.99,N,0,N,0,0,7,8,7,8,N,2,51.5,2,39.7,7,7,N,5,7,8,,,0,1021,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,10,0,,Y,8,24,2039,0,Y,62,G,7,336.96
16,00000000000P403,1,6,1,00068,0,00,011,28360,'SPRING CREEK',,'IRR BIA RTE 68','10 KM WEST OF FORT HALL',99.99,8.9,0,0000000000,0,43023550,112331630,12,3,62,62,09,1974,2,0,60,2021,5,9.1,0,0,0,1,1,1,1,5,N,0,0,A,1,5,5,04,0,00,1,0,8.2,27.1,27.7,0,0,9.1,10.1,99.99,N,0,N,0,0,7,7,6,7,N,5,43.2,5,32.4,6,7,N,5,3,8,,,0,721,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,5,0,,Y,7,180,2041,0,Y,62,F,6,279.77
