STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
23,           0002,1,5,0,00000,0,02,011,12735,'WEST BR SHEEPSCOT RIVER',,'DIRIGO ROAD','3.1 MI S OF JCT RTE 3',99.99,4.876,0,0001100519,0,44220404,069315434,13,3,01,01,09,1982,2,0,1026,2016,0,7.9,0,5,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,00,2,0,8.5,4,8.5,0,0,0,0,99.99,N,0,N,99.9,99.9,N,N,N,6,6,8,97.2,8,94.9,6,N,N,5,8,8,,,,720,24,N  ,N  ,N  ,,,,,,,,,0,            n/a,0,N,2,,0,0,0,N,N,N,N,5,0,,Y,8,1539,2036,0,N,23,F,6,67.15
23,           0007,1,5,0,00000,0,03,001,77800,'MARTIN STREAM',,'TIDSWELL RD','0.1 MI E RT 4',99.99,0.274,0,0000100366,0,44175114,070160520,8,3,03,03,09,2020,2,0,564,2016,0,8.7,0,10,0,N,N,0,0,4,0,0,0,A,1,5,3,19,0,00,1,0,8.3,7.3,7.3,0,0,0,0,99.99,N,0,N,99.9,99.9,N,N,N,7,9,8,67.7,8,52.2,9,N,N,5,5,8,,,,221,24,N  ,Y60,N  ,,0421,,,,,,,0,            n/a,0,N,2,,0,0,,N,N,N,N,5,0,,Y,8,902,2036,0,N,23,G,9,63.51
23,           0011,1,5,0,00000,0,02,001,29255,'DEAD RIVER',,'BULL RUN (STA) RD','.5 MI W WALES TL',99.99,2.543,0,0000100392,0,44103349,070055068,5,3,01,01,09,1977,2,0,320,2016,0,9.4,0,10,0,0,0,0,0,4,0,0,0,A,1,5,3,02,0,00,1,0,8.5,21.3,22.8,0.1,0.1,8.7,9,99.99,N,0,N,99.9,99.9,5,7,7,5,N,8,62.9,8,48.3,7,6,N,5,8,8,,,,721,24,N  ,N  ,N  ,,,,,,,,,0,            n/a,0,N,2,,0,0,0,1,1,0,0,5,0,,Y,8,512,2036,0,N,23,F,5,205.2
23,           0012,1,5,0,00000,0,02,001,79585,'MINWAH BK',,'RIDGE RD','1 MI N RT 9',99.99,1.175,0,0000100405,0,44102467,070011736,3,3,03,03,09,2009,2,0,204,2016,0,6.1,0,0,0,N,N,0,0,5,0,0,0,A,1,5,1,19,0,00,3,0,7.6,2.4,8.1,0,0,0,0,99.99,N,0,N,99.9,99.9,N,N,N,7,8,8,86.5,8,66.7,8,N,N,5,7,6,,,,321,24,N  ,N  ,N  ,,,,,,,,,0,            n/a,0,N,2,,0,0,0,N,N,N,N,5,0,,Y,8,326,2036,0,N,23,G,8,49.41
23,           0017,1,5,0,00000,0,01,001,40035,'FISHER STREAM',,'FISHER-RD','0.3 MI N RT 125',99.99,0.402,0,0000130427,0,44023484,070015473,0,3,03,03,19,2012,2,0,558,2016,0,8.5,0,8,0,0,0,0,0,5,0,0,0,A,1,5,5,05,0,00,1,0,7.3,9.5,10,0,0,7.3,7.9,99.99,N,0,N,99.9,99.9,8,8,7,8,N,8,51.5,8,39.9,7,4,N,5,5,8,,,,1021,24,N  ,N  ,N  ,,,,,,,,,0,            n/a,0,N,2,,0,0,,2,6,2,0,5,0,,Y,5,893,2036,0,N,23,G,7,79
23,           0019,1,5,0,00000,0,03,001,77800,'MARTIN STREAM',,'RICKER HILL ROAD','0.4 MI NW JCT RTE 117',99.99,1.963,0,0000100443,0,44160545,070170125,161,3,01,01,09,2015,2,0,191,2016,B,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,6.1,15.9,16.5,0,0,6.1,6.1,99.99,N,0,N,99.9,99.8,8,8,8,8,N,8,57,8,44.1,8,4,N,5,6,8,,,,421,24,N  ,N  ,N  ,,,,,,,,,0,            n/a,0,N,2,,0,0,0,6,6,0,0,5,0,,Y,8,306,2036,0,N,23,G,8,100.65
23,           0028,1,5,0,00000,0,01,001,60020,'WORTHELY BROOK',,'LANE ROAD  TW','.1 MI E  HACKET MILLS RD',99.99,1.046,0,0000100604,0,44050528,070200046,2,3,03,03,09,2013,2,0,197,2016,9,6.7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,07,0,00,1,0,5.5,6.7,7.3,0.3,0.3,6.7,7.3,99.99,N,0,N,99.9,99.9,8,8,8,5,N,8,42.1,8,32.4,8,4,N,5,7,6,,,,421,24,N  ,N  ,N  ,,,,,,,,,0,            n/a,0,N,2,,0,0,0,2,6,2,0,5,0,,Y,4,315,2036,0,N,23,G,8,53.29
23,           0030,1,5,0,00000,0,01,001,46160,'BOG*BRK',,'BUCKNAM BRIDGE RD','RT OFF 124 1.7 MI S X 119',99.99,0.257,0,0000100616,0,44090598,070230852,5,3,01,01,09,1979,2,0,316,2016,6,8.5,0,0,0,0,0,0,0,4,0,0,0,A,1,5,3,02,0,00,1,0,8.2,29,30.6,0.2,0.2,8.3,9.4,99.99,N,0,N,99.9,99.9,6,6,7,7,N,8,66.7,8,51.5,6,5,N,5,8,8,,,,821,24,N  ,N  ,N  ,,,,,,,,,0,            n/a,0,N,2,,0,0,0,1,1,0,0,5,0,,Y,8,506,2036,0,N,23,F,6,287.64
23,           0034,1,4,0,00000,0,01,001,64570,'I-95',,'GROVE STREET','0.265 mi. N of Crowley Rd',99.99,0.483,0,0000100506,0,44044318,070071949,5,3,31,31,17,1956,2,4,3195,2016,A,7.6,0,20,0,1,0,1,0,5,N,0,0,A,1,1,4,02,0,00,4,0,7.6,17.1,61.6,0,0,7.6,8.5,99.99,H,4.55,H,3,3.5,7,5,7,N,N,8,38.9,8,29.8,5,2,6,5,N,6,,,,521,24,N  ,N  ,N  ,,,,,,,,,0,               ,0,N,2,,0,0,0,1,6,2,1,8,0,,Y,N,4473,2036,0,N,23,F,5,523.6
23,           0035,1,5,0,00000,0,01,001,64570,'I-95',,'LISBON RD','0.962 mi E of Grove St',99.99,1.819,0,0000100393,0,44045995,070064442,6,3,31,31,19,1956,2,4,1682,2016,A,7.6,0,19,0,1,0,1,0,5,N,0,0,A,1,1,4,02,0,00,4,0,7.6,18.6,64.9,0,0,7.6,8.5,99.99,H,4.57,H,3,3.5,7,7,7,N,N,8,35.3,8,27.2,6,4,4,5,N,8,,,,521,24,N  ,N  ,N  ,,,,,,,,,0,               ,0,N,2,,0,0,0,1,6,2,1,5,0,,Y,N,2523,2036,0,N,23,G,7,551.65
