STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
33,        1NH0BR1,1,8,0,00000,0,00,015,62900,'PISCATAQUA R BACK CHAN',,'WALKER STREET','200 M SE OF SR103',0,0,0,,,43050539,070442908,2,3,73,73,19,1913,2,0,7000,2011,5,10.6,3,0,0,1,0,0,0,2,0,0,0,A,4,5,3,02,0,00,4,0,4.6,22.9,91.4,1.8,1.8,10.3,15.4,99.99,N,0,N,0,0,7,8,6,8,N,8,96.9,8,74.8,6,4,N,5,8,8,38,1,91.4,821,24,N  ,Y60,N  ,,0819,,22,12,34,2021,,,               ,1,N,2,,0,0,2015,1,0,0,0,10,0,1,Y,5,8000,2040,,Y,73,F,6,1407.56
33,        1NH0BR2,1,8,0,00000,0,00,015,62900,'PISCATAQUA RIV BACK CHNL',,'WYMAN AVE','0.1 KM SOUTH OF SR 103',99.99,0,0,,,43050630,070440880,2,3,73,73,19,1941,2,0,4000,2011,3,9.1,0,0,0,0,0,0,0,2,0,0,0,A,5,5,4,03,0,00,2,0,9.1,30.5,61,1.4,0.5,9.1,11.3,99.99,N,0,N,0,0,6,5,6,7,N,8,35.6,8,27.5,5,4,N,5,8,8,38,1,61,821,24,Y24,Y60,N  ,0821,0819,,467,34,501,2021,,,               ,1,N,2,,0,0,1984,1,6,8,8,10,0,1,Y,5,4200,2040,,Y,73,F,5,689.3
33,000100700004200,1,3,1,0123A,0,04,019,00260,'COLD RIVER',,'NH123A','.42 MI. FROM LANGDON TL',99.99,164.893,0,,,43102501,072192974,2,3,01,01,08,1961,2,0,1098,2020,9,9.1,0,30,0,1,1,1,0,3,0,0,0,A,1,5,4,02,0,00,3,0,9.3,17.1,47.9,0.1,0.1,9.3,10.5,99.99,N,0,N,0,0,7,7,7,8,N,1,76.1,1,45.5,7,5,N,5,7,6,31,1,47.9,620,24,N  ,N  ,N  ,,,,2718,200,3142,2022,,0,               ,0,N,2,,0,0,2003,1,6,9,1,6,0,,Y,8,1625,2042,0,N,33,G,7,502.95
33,000100840004200,1,8,0,00000,0,04,019,00260,'COLD RIVER',,'FOREST ROAD','1.06 MI FROM LANGDONTL',99.99,0.037,0,,,43102483,072184895,5,3,04,04,09,1974,2,0,133,2020,5,8.5,0,30,0,0,0,0,0,3,0,0,0,A,1,5,3,02,0,00,1,0,8.5,21.3,22.9,0.2,0.2,8.5,9.9,99.99,N,0,N,0,0,7,7,7,7,N,2,53.9,2,26.3,6,6,N,5,8,6,31,1,22.9,820,24,N  ,N  ,N  ,,,,2718,200,3142,2022,,0,               ,0,N,2,,0,0,0,1,6,0,0,4,0,,Y,8,196,2042,0,N,33,G,7,226.71
33,000101100006500,1,8,0,00000,0,04,019,00260,'COLD RIVER',,'BERYL MT ROAD','0.04 MI FROM RTE 123-A',99.99,3.003,0,,,43112657,072170908,2,3,04,04,09,1977,1,0,81,2020,5,3.7,0,0,0,0,0,0,0,3,0,0,0,A,5,5,5,01,0,00,1,0,3.6,13.7,14.6,0.1,1.1,3.6,5,99.99,N,0,N,0,0,5,5,6,6,N,0,44.7,0,32.7,5,3,N,5,9,8,31,1,14.6,820,24,N  ,N  ,N  ,,,,2718,200,3142,2022,,0,               ,0,N,3,,0,0,0,2,6,0,0,0,0,,Y,8,119,2042,0,N,33,F,5,73
33,000101140006300,1,3,1,0123A,0,04,019,00260,'BOWERS BROOK',,'NH123A','IN S ACWORTH VILLAGE',99.99,169.573,0,,,43112586,072170045,10,3,01,01,08,2018,2,0,1098,2020,A,9.1,0,35,0,1,1,1,1,5,0,0,0,A,1,5,5,01,0,00,1,0,8.2,10.2,11.7,0.2,0.2,8.2,9.9,99.99,N,0,N,0,0,8,8,8,8,N,3,67.8,3,43.5,8,4,N,5,8,6,31,1,11.7,620,24,N  ,N  ,N  ,,,,2718,200,3142,2022,,,               ,0,N,2,,0,0,0,1,2,0,0,10,0,,Y,8,1625,2042,,N,33,G,8,115.83
33,000101240005700,1,3,1,0123A,0,04,019,00260,'COLD RIVER',,'NH123A','4.16 MI. FROM LANGDON TL',99.99,170.705,0,,,43110704,072162305,2,3,01,01,08,1961,2,0,366,2020,9,8.8,0,45,0,1,1,1,1,3,0,0,0,A,1,5,4,02,0,00,3,0,9.4,17.1,48.2,0.1,0.1,9.4,10.6,99.99,N,0,N,0,0,7,8,7,7,N,1,76.1,1,45.5,7,6,N,5,8,6,31,1,48.2,620,24,N  ,N  ,N  ,,,,2718,200,3142,2022,,0,               ,0,N,2,,0,0,2002,1,6,9,1,6,0,,Y,8,541,2042,0,N,33,G,7,510.92
33,000101360005700,1,8,0,00000,0,04,019,00260,'COLD RIVER',,'ECHO VALLEY ROAD','161 FT FR NH RTE 123A',99.99,0.055,0,,,43110659,072154445,159,3,04,04,09,2006,1,0,81,2020,5,3,0,10,0,0,0,0,0,5,0,0,0,A,1,5,3,00,0,00,1,0,3.4,18.3,18.3,0,0,3.4,4.3,99.99,N,0,N,0,0,8,8,8,7,N,0,40.8,0,32.7,8,3,N,5,5,8,31,1,18.3,820,24,Y24,N  ,N  ,0820,,,2718,200,3142,2022,,0,               ,0,N,3,,0,0,0,6,6,8,8,0,0,,Y,8,119,2042,0,N,33,G,8,78.69
33,000101470006700,1,8,0,00000,0,04,019,00260,'COLD RIVER',,'GROUT HILL ROAD','202 FT FROM JCT NH123A',99.99,0.072,0,,,43112978,072150188,5,3,04,04,09,1930,1,0,81,2020,0,5.2,0,0,0,0,0,0,0,3,0,0,0,A,1,5,4,02,0,00,2,0,4.5,8.8,18.4,0,0,4.5,5.1,99.99,N,0,N,0,0,7,7,5,6,N,1,85.1,1,51,5,6,N,5,3,4,31,1,18.4,820,24,N  ,N  ,N  ,,,,2718,200,3142,2022,,0,               ,0,N,3,,0,0,2008,2,1,0,1,4,0,,Y,3,119,2042,0,N,33,F,5,93.84
33,000101590008600,1,3,0,00000,0,04,019,00260,'COLD RIVER',,'RIVER ROAD','0.97 MI NO JCT NH 123A',99.99,1.524,0,,,43121803,072142235,10,3,01,01,08,1929,2,0,155,2020,0,5.2,0,34,0,0,0,0,0,3,0,0,0,A,1,5,3,02,0,00,1,0,7.3,10.7,11.9,0,0,7.3,8.2,99.99,N,0,N,0,0,5,7,6,7,N,1,25.1,1,16.3,5,5,N,5,8,4,31,1,11.9,620,24,N  ,N  ,N  ,,,,2718,200,3142,2022,,0,               ,0,N,2,,0,0,0,1,6,0,0,10,0,,Y,8,229,2042,0,N,33,F,5,97.58
