STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
34,        004A006,1,5,0,00000,0,03,007,10000,'N. BRANCH NEWTON CREEK',,'MORGAN BLVD','0.2 MI S. OF MORGAN STREE',99.99,0.322,0,,,39543442,075062873,2,3,04,04,16,1919,2,0,5277,2021,2,16.2,0,0,0,1,1,1,1,4,1,2.4,21.3,A,5,5,1,11,0,00,1,0,9.2,21.6,21.6,1.2,1.2,9.2,13.3,99.99,N,0,N,0,0,N,5,5,7,N,1,79.8,1,52.6,5,3,N,5,7,6,33,1,21.6,221,24,N  ,Y48,N  ,,0321,,35,4,51,2021,,,               ,0,N,2,,0,0,0,N,N,N,N,4,0,1,Y,5,6333,2041,2.4,N,34,F,5,287.28
34,        0101150,1,2,1,00009,0,03,001,00100,'ABSECON CREEK',,'U.S.ROUTE 9','0.4 MI S OF 9-30 JCT',99.99,68.301,1,00000009__,0,39252006,074302984,2,3,01,01,14,1954,2,0,10685,2021,5,13.4,0,35,0,0,1,1,1,4,0,0,0,A,5,5,1,01,0,00,2,0,13.4,7.9,16.5,1.7,1.7,13.4,17.8,99.99,N,0,N,0,0,5,5,5,6,N,3,44.5,3,26.3,5,6,N,5,6,8,,,0,721,24,N  ,Y48,N  ,,0619,,,,,,,,               ,0,N,2,,1,0,0,1,1,0,0,4,0,,Y,8,12821,2041,0,N,34,F,5,293.7
34,        0102151,1,2,1,00009,0,03,001,60600,'Nacote Ck & Lindbergh Av',,'US 9','1.18 mi. s. of GSP',99.99,82.72,1,00000009__,0,39315826,074275029,13,3,01,01,06,2002,2,2,4448,2020,A,13.1,0,6,0,1,0,0,1,5,1,7.6,28.3,A,1,6,6,02,0,00,5,0,13.2,30.5,153.9,0,0,13.2,14.4,99.99,H,7.01,H,4.4,10.7,6,7,6,9,N,8,76.1,8,60.3,6,6,9,5,9,7,,,0,820,24,N  ,Y48,N  ,,0718,,,,,,,,               ,0,N,2,,0,0,0,1,0,0,1,4,0,2,Y,8,5338,2040,0,N,34,F,6,2216.16
34,        0103150,1,2,1,00030,0,03,001,02080,'PENROSE CANAL',,'ROUTE US 30','0.24 MI NW OF 30-87 JCT',99.99,92.151,1,00000030__,0,39222924,074263898,8,3,01,01,14,2003,6,0,62654,2020,9,28.3,3,0,0,1,0,0,1,4,0,0,0,A,5,5,5,01,0,00,2,0,14,14.6,31.4,1.8,1.8,28,33.1,99.99,N,0,N,0,0,7,8,7,7,N,1,99.9,1,44.5,7,9,N,5,6,8,,,0,1020,24,N  ,Y24,N  ,,1120,,,,,,,,               ,0,N,2,,1,0,0,1,1,0,2,4,0,,Y,8,76519,2040,0,N,34,G,7,1039.34
34,        0103151,1,2,1,00030,0,03,001,02080,'VENICE LAGOON',,'US 30','0.6MI W OF 30-87 JCT',99.99,91.523,1,00000030__,0,39222978,074263818,8,3,01,01,14,1946,6,0,42205,2019,5,24.4,3,0,0,0,1,1,1,5,0,0,0,A,5,5,1,01,0,00,9,0,0,6.1,55.8,1.4,1.4,21.9,27.4,99.99,N,0,N,0,0,6,6,5,7,N,1,88,1,52.6,5,3,N,5,8,6,,,,421,24,N  ,Y48,N  ,,0619,,,,,,,,               ,0,N,2,,1,0,1994,1,6,2,0,4,0,,Y,8,50646,2039,0,N,34,F,5,1528.92
34,        0103152,1,2,1,00030,0,03,001,02080,'Beach Thorofare',,'US 30','5.18 MI E of US 9 Int.',99.99,91.346,1,00000030__,0,39223925,074271192,2,3,01,01,14,1946,6,0,42624,2020,5,21.6,3,0,0,0,0,1,1,5,1,6.1,18.3,A,5,5,3,16,3,20,1,6,10.9,24.7,144.8,1.5,1.5,21.8,28.5,99.99,N,0,N,0,0,5,5,5,7,N,1,29.9,1,18.1,4,2,N,5,8,8,31,1,609.6,520,24,Y24,Y48,N  ,0520,0518,,86400,8640,129950,2020,,,               ,0,N,2,,1,0,1994,1,3,0,0,4,0,2,Y,4,51149,2040,0,N,34,F,5,4126.8
34,        0103153,1,2,1,00030,0,03,001,02080,'DUCK THOROFARE',,'US 30','1.25 MI NW OF 30-87 JCT',99.99,90.477,1,00000030__,0,39225689,074273406,8,3,01,01,02,1952,4,0,44392,2021,5,22.6,3,0,0,0,1,1,1,4,0,0,0,A,5,5,2,01,0,00,25,0,11,3.7,92.4,1.1,1.1,21.9,26.5,99.99,N,0,N,0,0,4,4,5,7,N,1,30.8,1,18.1,4,9,N,5,6,8,31,1,92.4,421,24,N  ,Y24,N  ,,0421,,8671,867,13526,2021,,,               ,0,N,2,,1,0,1994,1,3,0,0,7,0,1,Y,8,54166,2041,0,N,34,P,4,2448.6
34,        0103154,1,2,1,00030,0,03,001,02080,'NEWFOUND THOROFARE',,'US 30','0.9 MI W OF BEACH THORO',99.99,89.801,1,00000030__,0,39231010,074275580,8,3,01,01,02,1952,4,0,53245,2021,5,22.6,3,0,0,0,0,0,1,4,0,0,0,A,5,5,2,01,0,00,21,0,10.9,3.7,77.7,1.1,1.2,21.8,26.5,99.99,N,0,N,0,0,5,5,4,7,N,1,30.8,1,18.1,4,9,N,5,6,8,31,1,88.4,421,24,N  ,Y24,N  ,,0421,,13,171,20,2021,,,               ,0,N,2,,1,0,1994,1,3,0,0,7,0,,Y,8,63900,2041,0,N,34,P,4,2059.05
34,        0103155,1,2,1,00030,0,03,001,02080,'JONATHANS THOROFARE',,'U.S.ROUTE 30','0.35 MI SE OF30 DELILAHRD',99.99,87.613,1,00000030__,0,39233084,074292123,8,3,01,01,14,1952,4,0,51400,2021,0,21.9,3,16,0,0,0,0,0,4,0,0,0,A,5,5,2,01,0,00,4,0,10.9,3.4,14,1.1,1.1,21.8,26.5,99.99,N,0,N,0,0,6,6,4,7,N,1,39,1,27.2,4,9,N,5,6,8,38,1,14,421,24,N  ,Y48,N  ,,0621,,3122,343,4800,2019,,,               ,0,N,2,,1,0,1994,1,6,2,0,4,0,1,Y,8,61680,2041,0,N,34,P,4,371
34,        0103157,1,2,1,00030,0,03,001,00100,'WEAVERS DITCH',,'U.S. 30','2.24 MI E. OF U.S. 9',99.99,86.631,1,00000030__,0,39235978,074293278,3,3,01,01,14,1993,5,0,53031,2021,6,23.6,3,19,0,0,0,0,1,4,0,0,0,A,5,5,5,05,0,00,1,0,12.4,14,15.2,0,1.8,23.6,27.1,99.99,N,0,N,0,0,6,6,7,7,N,1,77.1,1,46.3,6,7,N,5,6,8,,,0,721,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,0,1,1,0,1,4,0,,Y,8,64708,2041,0,N,34,F,6,411.92
