STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
35,       0401-BA1,1,6,8,00000,0,00,053,00000,'Low Flow Channel',,'Gravel Road','Bosque Del Apache N.W.R.',99.99,0,0,,0,33474050,106522200,32,3,69,69,06,1995,2,0,0,2008,6,7.6,0,0,0,1,0,1,1,5,0,0,0,A,1,5,1,06,0,00,1,0,5.5,24.7,25.2,0,0,5.5,6.4,99.99,N,0,N,0,0,6,7,7,7,N,8,48.3,8,37.3,7,4,N,5,8,3,,,0,1220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,2,8,0,8,,0,,Y,8,0,2035,,Y,69,F,6,161.28
35,       0401-FS1,1,6,8,00203,0,00,011,27340,'Sumner Dam Spillway',,'Highway NM203','12 miles NW of Ft Sumner',99.99,0,0,,0,34362660,104232328,16,3,69,69,06,1936,1,0,50,2006,5,7.3,0,0,0,0,0,0,0,5,0,0,0,P,1,5,2,04,0,00,3,0,4.9,16.2,46.9,0.6,0,4.9,5.5,99.99,N,0,N,0,0,5,5,5,7,N,8,13.9,8,10.7,3,3,N,5,9,4,,,0,1021,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,8,0,8,,0,,Y,8,50,2035,,Y,69,F,5,257.95
35,       0401-MD1,1,6,8,00000,0,00,013,48060,'Rio Grande River',,'Levee road','Mesilla  New Mexico',99.99,0,0,,0,32134035,106475371,8,3,69,69,06,1915,1,0,50,2008,4,4.9,0,0,0,0,0,0,0,5,0,0,0,A,1,5,2,04,0,00,13,0,4.8,7.3,93.3,0,0,4.8,5.1,99.99,N,0,N,0,0,5,4,5,6,N,1,83.7,1,49.5,4,8,N,5,8,5,,,0,220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,8,100,2035,,Y,69,P,4,475.83
35,       0401-S02,1,6,8,00000,0,00,053,73540,'LFCC',,'Gravel Road','Bosque Apache N.W.R.',99.99,0,0,,0,33432580,106545260,16,3,69,69,06,1995,2,0,20,2008,5,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,1,0,6.4,23.5,24.2,0,0,6.4,6.4,99.99,N,0,N,0,0,6,7,6,7,N,8,41.1,8,31.8,6,5,N,5,8,7,,,0,1220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,40,2035,,Y,69,F,6,154.88
35,       0401-S05,1,6,8,00000,0,00,053,66120,'Brown Arroyo',,'Access Road','Luis Lopez  NM',99.99,0,0,,0,34000986,106522054,32,3,69,69,06,1995,2,0,20,2008,6,7.3,0,15,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,1,0,6.1,29.3,30,0,0,6.1,6.4,99.99,N,0,N,0,0,6,7,7,7,N,8,47,8,36.3,7,5,N,5,8,7,,,0,920,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,5,30,2035,,Y,69,F,6,192
35,       0401-S07,1,6,8,00000,0,00,053,66120,'LFCC',,'LFCC O&M West','Lemitar  NM',99.99,0,0,,0,34113841,106532546,16,3,69,69,06,1995,2,0,10,2008,6,7.6,0,0,0,1,N,1,1,5,0,0,0,A,1,5,5,02,0,00,1,0,6.4,24.7,25.1,0,0,6.4,6.4,99.99,N,0,N,0,0,6,6,7,7,N,1,85.5,1,51.3,6,5,N,5,9,3,,,0,920,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,8,8,8,,0,,Y,8,10,2035,,Y,69,F,6,160.64
35,       0401-SA1,1,6,8,00000,0,00,053,66120,'Low Flow Cannel',,'Gravel Road','San Acacia',99.99,0,0,,0,34145313,106540668,16,3,69,69,06,1995,2,0,20,2008,6,7.3,0,20,0,1,1,1,1,5,0,0,0,A,1,5,5,05,0,00,1,0,6.1,13.4,13.8,0,0,6.1,6.1,99.99,N,0,N,0,0,7,7,7,7,N,8,59.6,8,46,7,5,N,5,8,3,,,0,1220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,2,8,0,8,,0,,Y,8,20,2035,,Y,69,G,7,84.18
35,       0405-711,1,3,8,00511,0,00,045,00000,'Navajo Dam Spillway',,'New Mexico Rd 511','25 mi E of Farmington NM',99.99,0,0,,0,36482800,107363900,129,3,01,69,06,1942,2,0,800,2006,6,7.9,0,0,0,0,0,0,0,4,0,0,0,A,1,5,1,04,0,00,3,0,7.9,13.4,42.7,0.8,0.8,7.9,9.4,99.99,N,0,N,0,0,6,7,7,7,N,8,28.5,8,22,5,5,N,5,9,4,,,0,1121,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,8,0,8,,0,,Y,8,800,2035,,Y,69,F,6,401.38
35,      0401-1283,1,6,8,00000,0,00,053,73540,'Low Flow Cannal',,'Gravel Road','Soccoro at Otero Ave East',99.99,0,0,,0,34034143,106523553,16,3,69,69,06,1986,2,0,30,2008,5,7.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,1,0,6.1,24.4,25.1,0,0,6.1,6.4,99.99,N,0,N,0,0,6,7,7,6,N,1,55.8,1,33.3,7,5,N,5,9,3,,,0,920,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,8,0,8,,0,,Y,8,30,2035,,Y,69,F,6,160.64
35,   0401-San Mar,1,6,8,00000,0,00,053,66120,'Low Flow Canal',,'Gravel road','San Marcial  NM',99.99,0,0,,0,33415367,106583572,16,3,69,69,06,1987,2,0,20,2008,6,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,03,0,00,1,0,6.4,24.4,25.1,0,0,6.4,6.4,99.99,N,0,N,0,0,6,7,7,7,N,8,58.6,8,45.4,7,5,N,5,8,3,,,0,1220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,8,0,8,,0,,Y,8,20,2035,,Y,69,F,6,160.64
