STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
32,         B  12 ,1,1,1,00080,0,02,031,68400,'NORTH TRUCKEE DRAIN',,'I 80','SPARKS',99.99,30.896,1,0000000080,0,39314036,119423490,2,3,01,01,11,1953,8,0,50000,2017,6,32.9,3,5,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,00,3,0,16.4,2.4,7.6,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,7,1,51.9,1,31.3,7,N,N,5,8,8,,,0,520,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,1,N,2,,1,0,1989,N,N,N,N,19,1,1,Y,8,75800,2040,0,N,32,G,7,250.04
32,         B  16 ,1,3,1,00427,0,02,031,81000,'TRUCKEE RVR',,'SR427 OLD US40','WADSWORTH',99.99,3.109,0,,0,39375529,119165890,4,3,01,01,07,1993,2,0,2600,2017,6,7.9,0,0,0,1,1,1,1,5,0,0,0,A,5,5,6,05,0,00,2,0,13.4,40.8,82.3,0,1.5,13.4,15.7,99.99,N,0,N,0,0,6,7,7,7,N,1,99.9,1,48.6,7,7,N,5,9,8,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,1,12,0,,Y,8,4500,2040,0,N,32,F,6,1292.11
32,         B  34 ,1,3,1,00304,0,03,015,04900,'REESE RVR',,'SR304 FRONT ST','EAST OF BATTLE MOUNTAIN',99.99,4.543,0,,0,40375059,116552080,4,3,01,01,07,1994,2,0,1800,2017,5,12.2,0,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,00,3,0,12.2,2.4,7.9,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,1,73.1,1,43.7,7,N,N,5,8,8,,,0,721,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,N,N,N,N,9,0,1,Y,8,1989,2040,0,N,32,G,7,96.38
32,         B  39 ,1,8,1,0EU02,0,03,011,20500,'WHITEHOUSE CANAL',,'FR EU02','DUNPHY',99.99,0,0,,0,40422897,116312390,124,3,01,01,09,1935,2,0,100,2017,5,9.8,0,27,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,00,3,0,7.9,2.4,7.3,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,1,59.4,1,35.6,6,N,N,5,8,8,,,0,821,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,1987,N,6,0,0,,0,1,Y,8,110,2040,0,N,32,F,6,71.54
32,         B  45 ,1,8,8,0EU05,0,03,007,08900,'SUSIE CRK',,'FR EU05','EAST OF CARLIN',99.99,0,0,,0,40432362,116044004,124,3,01,01,09,1986,2,0,150,2017,6,9.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,00,4,0,9.8,3,13.1,0,0,9.8,14.3,99.99,N,0,N,0,0,N,N,N,6,6,1,71,1,44.4,6,7,N,5,8,8,,,0,721,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,6,0,0,5,0,,Y,8,166,2040,0,N,32,F,6,187.33
32,         B  48E,1,1,1,00080,0,03,007,22500,'CREEK',,'I 80E','EAST OF ELKO',99.99,506.287,1,0000000080,0,40565825,115361125,1,3,01,01,01,1930,2,0,9300,2017,5,11.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,00,3,0,11.6,3,10.3,0,0,0,0,99.99,N,0,N,0,0,N,N,N,5,6,1,49.9,1,30,6,N,N,5,7,8,,,0,820,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,1,R,1,,1,0,1962,N,N,N,N,20,1,1,Y,8,10276,2040,0,N,32,F,6,119.48
32,         B  49 ,1,8,1,0EL23,0,03,007,30900,'SLOUGH',,'FR EL23','WEST OF HALLECK',99.99,0,0,,0,40565605,115324161,1,3,01,01,09,1930,2,0,100,2017,5,12.2,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,3,0,12.2,3,10.1,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,6,1,34.6,1,20.7,6,N,N,5,7,8,,,0,820,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,1944,N,N,N,N,2,0,1,Y,8,110,2040,0,N,32,F,6,123.22
32,         B  76 ,1,3,1,00604,0,01,003,40000,'LAS VEGAS WASH',,'LAS VEGAS BLVD','NORTH LAS VEGAS',99.99,54.803,0,00000135CL,0,36123744,115062049,2,3,01,01,16,2007,5,0,17000,2017,6,29.3,2,0,0,1,0,0,0,5,0,0,0,A,5,5,3,02,0,00,1,0,29.3,21.4,22.6,2.5,2.5,29.3,35.4,99.99,N,0,N,0,0,7,8,7,8,N,1,60,1,35.9,7,9,N,5,8,8,,,0,221,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,3,0,1,Y,8,35158,2040,0,N,32,G,7,800.04
32,         B  81 ,1,8,8,0CL19,0,01,003,28100,'MUDDY RVR',,'FRCL19 GLENDALE RD','GLENDALE',99.99,1.146,0,00000034CL,0,36394819,114341716,1,3,01,01,09,1988,2,0,2200,2017,6,11.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,4,02,0,00,3,0,11.6,25,56.1,0,0,11.6,12.5,99.99,N,0,N,0,0,6,7,7,6,N,1,69.8,1,41.7,7,5,N,5,9,8,,,0,1120,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,8,0,,Y,3,4550,2040,0,N,32,F,6,701.25
32,         B  85 ,1,3,1,00170,0,01,003,08100,'VIRGIN RIVER',,'SR 170 RIVERSIDE','WEST OF BUNKERVILLE',99.99,0,0,00000036CL,0,36440379,114131206,24,3,01,01,07,2007,2,0,160,2017,9,10.9,0,0,0,1,1,1,1,5,0,0,0,A,1,5,4,02,0,00,5,0,10.9,57.9,268.2,0,0,10.9,11.8,99.99,N,0,N,0,0,8,8,6,5,N,3,71.8,3,55.5,6,7,N,5,8,7,,,0,1221,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,1,0,1,Y,5,300,2040,0,N,32,F,6,3164.76
