STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
41,       15AGN001,1,6,8,00000,0,00,045,00000,'VALE AGENCY VALLEY DAM',,'AGENCY MNT. ROAD','60 MI W OF VALE  OREGON',99.99,0,0,,0,43543976,118092834,0,3,25,69,09,1933,2,0,10,2020,5,6.5,0,0,0,1,0,0,N,5,0,0,0,A,1,5,1,01,0,00,3,0,5.6,5.5,18,0.3,2.9,5.6,6.8,99.99,N,0,N,0,0,7,7,7,8,N,1,59,1,35.3,7,4,N,5,9,5,,,0,920,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,10,0,,Y,8,20,2040,,Y,69,G,7,122.4
41,       15MAS001,1,6,8,00000,0,00,001,00000,'MASON DAM SPILLWAY',,'Black Mountain Rd','MASON DAM',99.99,0,0,,0,44402241,118000047,137,3,25,69,09,1968,2,0,50,2021,4,7.3,0,0,0,0,0,0,N,5,0,0,0,A,1,5,3,02,0,00,1,0,7.3,6.1,6.8,0.5,0.5,7.3,8.2,99.99,N,0,N,0,0,6,7,7,8,N,1,48,1,28.5,7,6,N,5,9,5,,,0,421,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,50,2041,,Y,69,F,6,55.76
41,      16BOW1001,1,3,1,00027,0,00,013,00000,'CROOKED RIVER',,'OR 27 (HWY 014)','193 MI S PRINEVILLE S LMT',99.99,0,0,,0,44064353,120471424,98,3,25,69,07,1961,2,0,100,2020,2,8.8,0,10,0,0,0,1,1,5,0,0,0,A,1,5,1,01,0,00,1,0,6.9,6.1,6.7,0.2,0.2,6.9,7.3,99.99,N,0,N,0,0,7,8,7,9,N,1,51.4,1,30.8,7,5,N,5,9,5,,,0,920,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,10,0,,Y,8,100,2040,,Y,69,G,7,48.91
41,      16TVD1001,1,4,8,00000,0,00,067,00000,'SCOGGINS DAM SPILLWAY BR',,'WEST SHORE DRIVE','TUALATIN OR',99.99,0,0,,0,45283078,123115516,6,3,25,69,09,1972,2,0,400,2020,5,8.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,2,0,7.9,5.8,14.3,0.9,1.2,7.9,10.1,99.99,N,0,N,0,0,7,7,7,9,N,1,70,1,42,7,5,N,5,9,6,,,0,1020,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,25,0,,Y,8,1000,2040,,Y,69,G,7,144.43
41,      17PIE0002,1,8,8,00000,0,00,059,00000,'UMATILLA PROJECT PHASE I',,'SCAPPLEHORN ROAD','CANAL STA 39+17.02',99.99,0,0,,0,45551903,119182732,320,3,69,69,09,1992,2,0,1,2020,5,7.9,0,29,0,1,N,N,N,5,0,0,0,A,1,5,2,01,0,00,2,0,12.3,3.6,9.7,0.4,0.4,12.3,13,99.99,N,0,N,0,0,7,8,8,8,N,1,99.9,1,90.7,8,9,N,5,9,8,,,0,220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,40,0,,Y,8,1,2040,,Y,69,G,7,126.1
41,      17PIE0005,1,8,8,00000,0,00,059,00000,'UMATILLA PROJECT PHASE I',,'CONFORTH ACCESS RD','CANAL STA 68+65.17',99.99,0,0,,0,45550875,119190610,320,3,69,69,09,1992,2,0,25,2020,5,9.8,0,18,0,1,N,N,N,5,0,0,0,A,1,5,2,01,0,00,2,0,9.1,3.2,8.5,0.4,0.4,9.1,9.9,99.99,N,0,N,0,0,8,8,8,8,N,1,44.4,1,26.6,6,7,N,5,9,8,,,0,220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,33,0,,Y,8,25,2040,,Y,69,G,8,84.15
41,      17PIE0008,1,8,8,00000,0,00,059,00000,'UMATILLA PROJECT PHASE I',,'ACCESS FOR SIMPLOT','CANAL STA NO 100+96.63',99.99,0,0,,0,45545253,119194344,320,3,69,69,09,1993,2,0,50,2020,5,8.5,0,16,0,1,N,N,N,5,0,0,0,A,1,5,2,01,0,00,2,0,7.3,3.3,8.8,0.4,0.4,7.3,8.1,99.99,N,0,N,0,0,7,8,8,8,N,1,99.9,1,90.7,8,6,N,5,8,8,,,0,220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,90,0,,Y,8,50,2040,,Y,69,G,7,71.28
41,      17PIIE008,1,8,8,00000,0,00,059,00000,'N BRANCH FURNISH CANAL',,'CANAL ACCESS ROAD','CANAL STA 124+25.37',99.99,0,0,,0,45491627,119093898,1,3,69,69,09,1995,1,0,10,2020,0,5.5,0,0,0,1,N,N,N,5,0,0,0,A,1,5,2,01,0,00,2,0,4.3,3.7,10.4,0,0,4.3,5,99.99,N,0,N,0,0,8,8,8,8,N,1,44.2,1,26.5,6,6,N,5,9,3,,,0,220,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,0,0,,Y,8,10,2040,,Y,69,G,8,52
41,00000000000P703,1,6,1,00004,0,04,071,30300,'AGENCY CREEK',,'IRR BIA RTE 4','10.5KM NW 22/GRN ROND RD',99.99,3.4,0,0000000000,0,45082606,123410078,199,3,62,62,09,1961,1,0,50,2021,4,4,0,40,0,0,0,0,0,5,N,0,0,P,1,5,2,02,0,00,3,0,4,15.2,21,0.4,0.4,4.8,5.5,99.99,N,0,N,0,0,6,5,7,4,N,1,30.1,1,18,5,8,N,4,4,3,31,1,30,721,24,N  ,N  ,N  ,,,,0,0,1050,2021,,0,               ,0,N,3,,0,1,0,1,0,0,0,25,0,,Y,5,75,2041,0,Y,62,F,5,115.5
41,00000000000P704,1,6,1,00004,0,04,071,30300,'NORTH FORK AGENCY CREEK',,'IRR BIA RTE 4','12.5KM NW 22/GRN RONDE RD',99.99,0.1,0,0000000000,0,45092045,123410608,199,3,62,62,09,1998,1,0,50,2021,9,4,0,0,0,1,0,0,0,5,N,0,0,A,1,5,3,02,0,00,1,0,4,13.1,13.9,0,0,4.5,4.7,99.99,N,0,N,0,0,6,7,7,7,N,5,35.1,5,23.8,6,6,N,5,8,5,,,0,721,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,3,,0,1,0,6,6,0,0,10,0,,Y,8,100,2041,0,Y,62,F,6,65.33
