STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
72,         000041,1,3,1,00873,0,01,127,76770,'FRAILES CREEK',,'PR 873','2.4 KM EAST OF GUAYNABO',99.99,0.8,0,,,18210600,066054200,0,3,01,01,19,1855,2,0,6100,2005,0,7,0,0,0,0,0,0,0,1,0,0,0,P,1,5,3,02,0,00,8,0,7,9.8,120.7,0,0,7,8.1,99.99,N,0,N,0,0,5,4,4,6,N,1,64.1,1,31.8,4,2,N,5,8,3,35,2,0,821,12,N  ,N  ,Y12,,,0821,0,0,342,2017,,2,_              ,0,N,2,,0,0,1930,1,1,0,0,2,0,1,Y,8,7500,2025,,N,72,P,4,977.67
72,         000051,1,3,1,00798,0,07,025,10334,'ARENAS CREEK',,'PR 798','7 KM N E OF AGUAS BUENAS',99.99,4.4,0,,,18182400,066041800,2,3,01,01,19,1929,2,0,1900,2005,0,9.9,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,9.9,9,9,0,0,9.9,11.1,99.99,N,0,N,0,0,5,5,5,5,N,1,48.7,1,26.1,5,N,N,4,7,6,31,1,9,1020,24,N  ,N  ,N  ,,,,195,39,234,,,,_              ,0,N,3,,0,0,0,1,6,0,0,4,0,,Y,3,6800,2025,,N,72,F,5,99.9
72,         000061,1,3,1,00798,0,07,025,10334,'CA&#165;AS RIVER',,'PR 798','7.5 KM N W OF CAGUAS',99.99,1.5,0,,,18174292,066032562,3,3,01,01,19,1856,2,0,11000,2002,2,7.6,0,0,0,0,0,0,0,3,0,0,0,P,1,5,8,19,0,00,2,0,6.7,5,18.4,0,0,5.5,6.7,99.99,N,0,N,0,0,N,N,N,6,6,1,10.7,1,1.3,2,2,N,0,7,3,31,1,18.4,421,24,N  ,N  ,N  ,,,,355,35,585,2016,,0,_              ,0,N,2,,0,0,0,1,6,0,0,5,0,,Y,8,13000,2025,,N,72,F,6,123.28
72,         000081,1,3,1,00001,0,06,025,10334,'BAIROA RIVER',,'PR 1','2.5 KM NORTH OF CAGUAS',99.99,32.9,0,,,18154200,066020600,2,3,01,01,14,1947,4,0,35700,2005,5,19.8,3,0,0,0,0,0,0,5,0,0,0,A,5,5,2,19,0,00,3,0,8.4,5,15.8,1.5,1.5,16.8,21.3,99.99,N,0,N,0,0,N,N,N,6,6,1,34.3,1,20.5,5,5,N,5,6,8,36,1,15.8,120,24,N  ,N  ,N  ,,,,656,66,984,2014,,,_              ,0,N,2,,1,0,0,1,1,0,0,4,0,,Y,8,61451,2025,,N,72,F,6,336.54
72,         000121,1,3,1,00001,0,06,035,07238,'BEATRIZ CREEK',,'PR 1','6 KM NORTH EAST OF CAYEY',99.99,52.4,0,,,18083000,066071200,5,3,01,01,06,1944,2,0,13900,2017,0,11.3,0,23,0,0,0,0,0,5,0,0,0,P,1,5,1,19,0,00,4,0,11.3,2.8,12.7,0,0,11.3,16.1,99.99,N,0,N,0,0,N,N,N,5,6,3,29.7,3,22.9,5,4,N,3,5,8,34,1,12.7,1221,24,N  ,N  ,N  ,,,,408,41,612,,,2,_              ,0,N,2,,0,0,0,1,6,0,0,5,0,1,Y,8,120,2025,,N,72,F,6,204.47
72,         000131,1,3,1,00001,0,06,035,15494,'LA PLATA RIVER',,'PR 1','4.5 KM NORTHEAST OF CAYEY',99.99,54.1,0,,,18080600,066071200,1,3,01,01,14,1949,2,0,14900,2017,4,7.3,0,0,0,0,0,0,0,5,0,0,0,P,5,5,2,04,0,00,4,0,8.7,22,76.9,0.5,0.5,8.7,10.3,99.99,N,0,N,0,0,6,6,6,6,N,3,24.8,3,19.1,4,4,N,5,6,8,33,1,76.9,721,24,N  ,N  ,N  ,,,,1545,155,1700,2015,,2,_              ,0,N,2,,1,0,0,1,6,0,0,5,0,1,Y,8,120,2025,,N,72,F,6,792.07
72,         000141,1,3,1,00001,0,06,035,15494,'PRIETA CREEK',,'PR 1','4 KM NORTH EAST OF CAYEY',99.99,55.1,0,,,18073156,006608800,1,3,01,01,14,1949,2,0,20000,2005,0,8.5,0,60,0,0,0,0,0,5,0,0,0,A,5,5,1,19,0,00,3,0,8.5,7.3,22.5,1,1,8.5,11.3,99.99,N,0,N,0,0,N,N,N,6,6,3,45.1,3,34.6,6,2,N,5,6,8,33,1,22.5,1121,24,N  ,N  ,N  ,,,,507,51,761,,,2,_              ,0,N,2,,1,0,0,1,6,0,0,5,0,1,Y,8,27122,2025,,N,72,F,6,254.25
72,         000151,1,3,1,00001,0,06,035,52130,'MATON RIVER',,'PR 1','2 KM SOUTH WEST OF CAYEY',99.99,61.1,0,,,18061200,066105400,13,3,01,01,06,1927,2,0,7800,2005,0,12,0,99,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,9.7,9.4,9.4,0,0,9.7,10.9,99.99,N,0,N,0,0,5,5,6,7,N,1,53,1,28.6,5,3,N,5,9,6,31,1,13.5,1220,24,N  ,N  ,N  ,,,,206,21,227,2016,,,_              ,0,N,2,,0,0,1947,1,6,0,0,5,0,,Y,4,14994,2025,,N,72,F,5,102.46
72,         000161,1,3,1,00001,0,06,035,52130,'MATON RIVER',,'PR 1','2.5 KM SOUTHWEST OF CAYEY',99.99,61.2,0,,,18055705,066110001,31,3,01,01,06,1927,2,0,8300,2017,0,10.6,0,0,0,0,0,0,0,5,0,0,0,A,1,5,2,01,0,00,2,0,10.6,6.2,13.2,0,0,10.6,11.7,99.99,N,0,N,0,0,4,4,6,5,N,3,14,3,10.8,2,4,N,0,4,3,31,1,19.8,721,12,N  ,N  ,Y12,,,0519,301,75,376,2015,,0,_              ,0,N,2,,0,0,1947,1,6,0,0,5,0,1,Y,3,1000,2025,,N,72,P,4,154.44
72,         000171,1,3,1,00001,0,06,035,60300,'JUAN ORRACA CREEK',,'PR 1','6 KM SOUTH WEST OF CAYEY',99.99,67.2,0,,,18054180,066125055,11,3,01,01,06,1929,2,0,8300,2017,0,10.1,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,10.1,9.4,9.4,0,0,10.1,11.4,99.99,N,0,N,0,0,5,5,5,5,N,1,46.4,1,23.5,5,4,N,4,N,6,35,2,9.4,1121,24,N  ,N  ,N  ,,,,416,83,499,2015,,2,_              ,0,N,2,,0,0,1945,1,6,0,0,5,0,,Y,3,10000,2025,,N,72,F,5,107.16
