STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
44,        1RI0668,1,8,0,00000,0,00,005,49960,'COASTERS HARBOR',,'TRAINING STATION R','620M W OF SR138 ROTARY',99.99,0,0,,,41302330,071193090,2,3,73,73,19,1982,2,0,1050,2011,5,9.1,0,0,0,1,0,0,0,5,0,0,0,A,5,5,5,01,0,00,3,0,9.1,11.9,35.7,1.8,0.6,9.1,12.2,99.99,N,0,N,0,0,6,6,6,8,N,0,36.3,0,32.6,6,5,N,5,7,6,38,1,35.7,821,24,N  ,Y60,N  ,,0819,,85,0,85,2021,,,               ,0,N,2,,0,0,,2,6,8,8,5,0,1,Y,5,1550,2035,,Y,73,F,6,435.54
44,        1RI1400,1,8,0,00000,0,00,005,49960,'COASTERS HARBOR',,'PERRY ROAD','0.3KM N OF MEYER KORD AVE',99.99,0,0,,,41305112,071192568,2,3,73,73,19,2010,2,0,2000,2011,9,8.5,0,0,0,1,1,1,1,5,0,0,0,A,5,5,5,05,0,00,11,0,8.5,27.5,285.5,1.8,0,8.5,11.2,99.99,N,0,N,0,0,7,7,6,8,N,3,51.2,3,39.5,6,5,N,5,8,8,38,1,285.5,821,24,N  ,Y60,N  ,,0819,,88,14,102,2021,,,               ,0,N,2,,0,0,,1,6,8,8,5,0,1,Y,5,2500,2035,,Y,73,F,6,3197.6
44,000000000000010,1,2,1,00001,1,04,007,19180,'PAWTUXET RIVER',,'US 1 ELMWOOD AV','2.5 Mi S of JCT RI 10',99.99,74.926,1,,0,41454202,071252984,2,3,01,01,14,1918,3,0,16443,2015,5,12.9,0,27,0,1,1,1,0,2,0,0,0,A,5,5,1,11,0,00,3,0,12.9,12.8,45.7,2.3,2.3,12.9,17.5,99.99,N,0,N,0,0,N,5,6,5,N,3,8.2,3,6.4,3,4,N,5,5,8,35,1,45.7,920,24,N  ,Y48,N  ,,0920,,1122,112,1683,,,,               ,0,N,2,,1,0,1990,N,N,N,N,,0,,Y,4,19732,2036,,N,44,F,5,799.75
44,000000000000020,1,3,1,00113,0,04,003,74300,'AMTRAK',,'RI 113 MAIN AV','1.0 Mi E of JCT I-95',99.99,3.331,1,,0,41424103,071265253,3,3,01,01,14,2006,5,0,34118,2015,5,19.8,2,11,0,1,1,1,1,5,N,0,0,P,5,2,5,05,0,00,1,0,11.6,23.9,25.1,1.5,1.5,19.8,24.7,99.99,R,6.13,R,3.2,0,7,4,7,N,N,8,29.5,8,22.7,4,4,4,1,N,5,35,1,42.7,1221,24,N  ,N  ,Y12,,,1221,7213,721,10820,,,,               ,0,N,2,,1,0,0,2,6,2,1,2,0,,Y,N,40942,2036,0,N,44,P,4,619.97
44,000000000000060,1,2,1,00001,0,04,009,51580,'HUNT RIVER',,'US 1 POST RD SB','0.1 Mi N of JCT RI 402',99.99,0.124,1,,0,41380354,071280595,0,3,01,01,14,1964,2,0,8000,2006,5,9.8,0,25,0,0,0,0,0,5,0,0,0,A,5,5,5,01,0,00,1,0,9.7,9.8,11.9,1.5,0.6,9.8,12.7,99.99,N,0,N,0,0,6,6,5,6,N,8,70,8,49.6,5,4,N,5,8,5,35,1,11.9,1121,24,N  ,N  ,N  ,,,,317,32,475,,,,               ,0,N,1,,1,0,0,2,6,2,0,10,0,,Y,3,9600,2036,,N,44,F,5,151.13
44,000000000000070,1,2,1,00001,0,04,009,51580,'AMTRAK',,'US 1 POST RD','0.7 Mi N of JCT RI 102',99.99,58.311,1,,0,41375383,071275631,9,3,01,01,14,2004,4,0,19200,2021,9,19.5,2,23,0,1,1,1,1,5,N,0,0,A,5,2,5,06,0,00,3,0,19.5,23.2,52.4,1.5,1.5,16.5,23.2,99.99,R,6.44,R,6.2,0,7,7,7,N,N,8,38.6,8,7.8,3,4,5,5,N,7,35,1,40.5,821,24,N  ,N  ,N  ,,,,5748,575,8622,,,,               ,0,N,2,,1,0,0,1,1,0,1,7,0,,Y,N,21120,2041,0,N,44,G,7,1215.68
44,000000000000110,1,2,2,0001A,0,04,009,51580,'WICKFORD COVE',,'US 1A BSTN NCK RD','0.8 Mi S of JCT US1',5.94,19.473,1,,0,41340612,071270767,4,3,01,01,14,1925,2,0,13636,2014,5,7.9,0,0,0,0,0,0,0,1,0,0,0,A,5,5,1,12,0,00,1,0,7.9,24.4,25.6,1.9,1.9,7.9,8.7,5.94,N,0,N,0,0,6,5,5,6,N,8,93.3,8,71.9,5,2,N,5,7,7,35,1,28,920,24,Y12,Y48,N  ,0921,0920,,1884,188,2826,,,,               ,0,N,2,,1,0,1977,1,1,0,0,2,0,,Y,4,16364,2036,,N,44,F,5,222.72
44,000000000000140,1,5,0,00000,0,05,009,67460,'PETTAQUAMSCUTT RIVER',,'MIDDLE BRIDGE RD','0.5 Mi W of JCT US 1A',99.99,3.584,0,,0,41272859,071270299,7,3,03,03,16,2003,2,0,2060,2021,9,9.1,0,0,0,1,0,1,0,5,0,0,0,A,1,5,5,05,0,00,3,0,9.1,27.4,53.6,1.8,1.8,9.1,12.7,99.99,N,0,N,0,0,7,6,6,6,N,3,40.8,8,31.4,6,4,N,5,7,6,35,1,32.6,521,24,N  ,Y48,N  ,,0521,,2922,292,4383,,,,               ,0,N,2,,0,0,0,N,6,9,0,6,0,,Y,5,2266,2041,,N,44,F,6,680.72
44,000000000000150,1,2,1,00001,1,04,009,51580,'HUNT RIVER',,'US 1 POST RD NB','0.1 Mi N of JCT RI 402',99.99,58.653,1,,0,41380304,071280417,0,3,01,01,14,1930,3,0,25883,2015,4,12.2,0,0,0,0,0,0,0,2,0,0,0,P,5,5,1,04,0,00,1,0,12.1,8.5,10.1,2.5,2.5,12.2,18.3,99.99,N,0,N,0,0,6,6,6,7,N,8,26.9,8,20.7,5,4,N,2,8,6,35,1,10.1,1121,24,N  ,N  ,Y12,,,1121,385,38,577,,,,               ,0,N,1,,1,0,0,1,6,8,8,1,0,,Y,3,31060,2036,,N,44,F,6,184.83
44,000000000000170,1,2,1,0001A,0,05,009,48340,'NARROW RIVER',,'US 1A BSTN NCK RD','2.6 Mi E of JCT US 1',99.99,4.3,1,,0,41265651,071265922,4,3,01,01,14,1981,2,0,11818,2021,5,13.4,0,0,0,1,1,1,1,5,0,0,0,A,5,5,3,02,0,00,1,0,13.4,45.7,47.2,1.8,1.8,13.4,19.1,99.99,N,0,N,0,0,6,5,6,6,N,8,56.1,8,43.1,5,6,N,5,8,7,35,1,46.9,1020,24,N  ,N  ,N  ,,,,2874,287,4311,,,,               ,0,N,2,,1,0,0,1,6,1,0,7,0,,Y,8,13000,2041,,N,44,F,5,901.52
44,000000000000180,1,2,1,00001,0,04,009,51580,'ANNAQUATUCKET RIVER',,'US 1 TOWER HILL RD','1.2 Mi N of JCT RI 4',99.99,49.624,1,,0,41332447,071275317,3,3,01,01,14,1917,2,0,10438,2021,5,13.4,0,30,0,0,0,0,0,2,0,0,0,A,1,5,1,19,0,00,2,0,0,3.5,7.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,7,8,97.2,8,97.2,7,N,N,5,7,7,35,1,7.3,1121,24,N  ,N  ,N  ,,,,370,37,556,,,,               ,0,N,2,,1,0,1975,N,6,9,0,5,0,,Y,8,11482,2041,,N,44,G,7,99.16
