STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
45,        2SC0300,1,8,0,00000,0,00,013,04690,'BALLAST CREEK',,'CUBA STREET','1.1 KM S. OF MALECON DR.',99.99,0,0,,,32200440,080401910,7,3,73,73,09,1941,2,0,50,2013,3,6.7,0,0,0,1,0,1,1,4,0,0,0,A,1,5,1,04,0,00,12,0,67,9.1,109.7,0.2,0.2,7.3,7.8,99.99,N,0,N,0,0,6,7,7,6,N,1,45.8,1,27.1,6,6,N,5,9,8,38,1,109.7,421,24,N  ,Y60,N  ,,0519,,6,1,7,2021,,,               ,0,N,2,,0,0,,1,0,0,0,5,0,,Y,5,55,2032,,Y,73,F,6,855.66
45,        2SC0896,1,8,1,00000,0,00,013,04690,'ARCHERS CREEK',,'MALECON DR','2.0 KM NW OF WAKE BLVD.',99.99,0,0,,,32214280,080424660,199,3,73,73,09,1954,2,0,2000,2013,0,7.2,0,0,0,0,0,1,1,4,1,6.5,10.7,A,5,5,1,04,0,00,19,0,72,11.6,112.7,1.3,1.3,8.5,11.1,99.99,N,0,N,0,0,6,6,6,7,N,1,37.6,1,35.6,6,5,N,5,9,8,38,1,112.7,421,24,N  ,Y60,N  ,,0519,,21,105,126,2021,,,               ,0,N,2,,0,0,1989,1,6,0,0,10,0,2,Y,5,2050,2032,,Y,73,F,6,1250.97
45,000000000000004,1,2,1,00021,0,07,009,00000,'EDISTO RIVER',,'US 21','.2 MI NW US 21 & SC 61',99.99,0.563,1,00US000210,0,33103910,080480850,0,3,01,01,06,1927,2,0,1450,2020,3,7.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,04,1,04,8,16,8.5,15.2,215.5,0,0,8.5,9.4,99.99,N,0,N,0,0,6,5,4,6,N,8,36,8,27.5,4,5,N,0,6,8,31,1,221.8,421,12,N  ,N  ,N  ,,,,2239,560,3359,2021,,,               ,0,N,2,,0,0,1955,1,6,8,8,18,0,,Y,5,2306,2040,0,N,45,P,4,2025.7
45,000000000000008,1,2,1,00017,1,06,013,00000,'RR SCRF ABANDONED',,'US 17 NB','SHELDON',99.99,7.384,1,00US000170,0,32360535,080474891,2,3,01,01,02,1935,2,0,7300,2020,2,12.2,0,21,0,0,1,1,1,5,N,0,0,A,1,2,1,04,0,00,3,0,13.4,12.8,38.4,0.5,0.5,13.4,14.3,99.99,N,0,N,0,0,6,6,6,N,N,8,36.9,8,27.5,6,9,N,5,N,8,,,38.4,920,24,N  ,N  ,N  ,,,,0,0,0,2021,,,               ,1,R,1,,1,0,1959,1,6,8,8,15,1,,Y,N,12702,2040,0,N,45,F,6,549.12
45,000000000000009,1,2,1,00021,0,06,013,00000,'ALBERGOTTI CREEK',,'US 21','NEAR BEAUFORT',99.99,42.335,1,00US000210,0,32270055,080435359,3,3,01,01,14,2014,4,0,31000,2020,A,20.5,0,0,0,0,1,1,0,5,0,0,0,A,5,5,2,01,0,00,3,0,21.3,12.2,36.6,1.5,1.5,21.3,25.3,99.99,N,0,N,0,0,7,7,8,8,N,8,60.3,8,46.7,7,9,N,5,3,8,,,36.6,920,24,N  ,N  ,N  ,,,,0,0,0,2021,,,               ,1,N,2,,1,0,0,1,1,8,8,5,1,,Y,8,37200,2040,0,N,45,G,7,925.98
45,000000000000018,1,2,7,00301,0,07,027,00000,'MILL CREEK',,'US 301 CON','.25 MI N OF ALCOLU',99.99,0.093,0,,,33450675,080131494,2,3,01,01,07,1922,2,0,200,2021,2,12.2,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,01,0,00,2,0,11,6.7,13.4,0,0,11,12.1,99.99,N,0,N,0,0,7,5,6,8,N,8,17.2,8,13.3,4,7,N,0,6,8,,,13.4,1021,24,N  ,N  ,N  ,,,,0,0,0,2022,,,               ,0,N,2,,0,0,1968,1,6,8,8,14,0,,Y,8,292,2041,0,N,45,F,5,162.14
45,000000000000019,1,3,1,00064,0,06,029,00000,'JONES SWAMP BREEK',,'SC 64/BELLS HWY','2.7 MI W OF WALTERBORO',99.99,32.784,1,00SC000640,0,32555586,080420785,8,3,01,01,06,1922,2,0,4000,2020,2,7.7,0,0,0,0,1,1,1,5,0,0,0,A,1,5,1,04,0,00,6,0,8.5,6.7,40.2,0,0,8.5,9.4,99.99,N,0,N,0,0,6,6,6,5,N,8,19.4,8,14.9,4,4,N,0,6,8,31,1,49.2,320,24,N  ,N  ,N  ,,,,538,135,807,2021,,,               ,0,N,2,,0,0,1957,1,6,8,8,10,0,,Y,3,6360,2040,0,N,45,F,6,377.88
45,000000000000020,1,2,1,00015,0,05,031,00000,'SPARROW SWAMP',,'US 15','2MI W OF LYDIA',99.99,0.682,1,00US000150,0,34162395,080073825,5,3,01,01,06,1922,2,0,4700,2020,2,8.8,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,04,0,00,4,0,12.2,6.7,26.8,0,0,12.2,13.1,99.99,N,0,N,0,0,6,5,5,7,N,8,5.2,8,4.2,2,6,N,0,6,8,31,1,35,120,24,N  ,N  ,N  ,,,,383,96,575,2021,,,               ,0,N,2,,0,0,1948,1,6,8,8,14,0,,Y,9,7473,2040,0,N,45,F,5,351.08
45,000000000000022,1,2,1,00301,0,05,033,00000,'BUCK SWAMP',,'US 301','1.0MI NE OF LATTA',99.99,8.465,1,00US003010,0,34210729,079251242,6,3,01,01,02,1947,4,0,8300,2020,5,17.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,04,0,00,4,0,21.9,6.7,26.8,0.6,0.6,21.9,23.4,99.99,N,0,N,0,0,7,7,7,8,N,8,14.3,8,11,3,9,N,0,6,8,34,1,35,220,24,N  ,N  ,N  ,,,,0,0,0,2021,,,               ,0,N,2,,1,0,1967,1,6,8,8,13,0,,Y,9,14442,2040,0,N,45,G,7,627.12
45,000000000000023,1,3,1,00009,0,05,033,00000,'ROPERS MILL BRANCH',,'SC 9','2.0 MI N OF DILLON',99.99,14.766,1,00SC000090,0,34273400,079230350,6,3,01,01,06,1920,2,0,6200,2020,2,8.2,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,04,0,00,1,0,10.4,8.2,8.2,0,0,10.4,10.4,99.99,N,0,N,0,0,7,6,7,8,N,8,23.3,8,18.1,4,4,N,2,6,8,,,8.2,220,24,N  ,N  ,N  ,,,,0,0,0,2021,,,               ,0,N,2,,0,0,1951,1,6,8,8,4,0,,Y,5,9858,2040,0,N,45,F,6,85.28
