STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
46,     10-110-361,1,6,8,00000,0,00,019,00000,'Inlet Canal',,'Diversion Dam Road','1.3 mi NE Belle Fourche',99.99,0,0,,0,44412654,103495136,320,3,25,69,09,1906,2,0,1,2017,5,6.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,04,0,00,2,0,5.2,11.4,24.5,0,0,5.2,5.9,99.99,N,0,N,0,0,6,7,7,8,N,8,39.9,8,30.8,7,3,N,5,9,3,,1,0,1021,24,N  ,N  ,N  ,,,,6,3,9,2019,,,               ,0,N,2,,0,0,1989,9,0,0,0,,0,,Y,5,1,2039,,Y,69,F,6,144.55
46,     10-112-356,1,6,8,00000,0,00,019,00000,'Crow Creek Wasteway',,'Inlet Canal Road','1.7 mi NE Belle Fourche',99.99,0,0,,0,44415363,103494068,320,3,25,69,09,1907,2,0,1,2017,5,5.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,04,0,00,1,0,4.9,21.3,21.8,0,0,4.9,5.5,99.99,N,0,N,0,0,7,7,4,7,N,8,27.5,8,21.4,4,3,N,5,9,6,,1,0,1021,24,N  ,N  ,N  ,,,,10,2,12,2019,,,               ,0,N,2,,0,0,1996,9,0,0,0,,0,,Y,6,1,2035,,Y,69,P,4,119.9
46,00000000000A002,1,6,1,00002,0,03,041,00000,'RED WATER CREEK',,'IRR BIA RTE  2','8.5 KM E OF SD HWY 63',99.99,9,0,0000000000,0,45105090,101064560,84,3,62,62,08,1961,2,0,180,2021,2,7,0,0,0,0,0,0,0,5,N,0,0,A,1,5,1,22,0,00,3,0,7.3,9.4,21.3,0.2,0.2,7.3,7.8,99.99,N,0,N,0,0,5,5,3,6,N,2,36.1,2,27.2,3,5,N,5,7,7,,,21.3,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,1,0,8,3,0,,Y,8,211,2041,0,Y,62,P,3,166.14
46,00000000000A003,1,6,1,00002,0,03,041,00000,'LITTLE MOREAU CREEK',,'IRR BIA RTE  2','3.2 KM   W OF WHITE HORSE',99.99,28.6,0,0000000000,0,45162730,100552430,84,3,62,62,08,1960,2,0,109,2021,2,7,0,0,0,0,0,0,0,5,N,0,0,P,1,5,2,01,0,00,3,0,7.3,9.1,24.4,0.6,0.6,7.5,8.7,99.99,N,0,N,0,0,6,6,7,6,N,2,24.1,2,18.1,5,5,N,0,7,8,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,8,5,0,,Y,8,128,2041,0,Y,62,F,6,212.28
46,00000000000A005,1,6,1,00003,0,03,041,00000,'HAND  BOY  CREEK',,'IRR BIA RTE  3','3.2KM W OF RTE 7 JUNCTION',99.99,20,0,0000000000,0,45202690,100391900,109,3,62,62,08,1964,2,0,200,2021,4,7,0,0,0,0,1,1,1,5,0,0,0,A,1,5,1,22,0,00,3,0,8.5,9.4,28.7,0.2,0.2,9.3,9.7,99.99,N,0,N,0,0,5,5,6,7,N,2,40.8,2,30.8,5,6,N,5,7,7,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,6,0,8,5,0,,Y,8,234,2041,0,Y,62,F,5,278.39
46,00000000000A006,1,6,1,00007,0,03,041,00000,'BEAVER CREEK',,'IRR BIA RTE  7','7.2 KM  EAST OF PROMISE',99.99,196.2,0,0000000000,0,45195261,100312507,85,3,62,62,08,1960,2,0,100,2021,2,7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,22,0,00,3,0,7.3,9.4,28.6,0.2,0.2,7.3,7.8,99.99,N,0,N,0,0,5,5,6,4,N,2,32.7,2,24.5,5,6,N,5,6,6,35,1,0,521,24,N  ,N  ,N  ,,,,0,0,106,2021,,0,               ,0,N,2,,0,1,0,2,1,0,8,5,0,,Y,8,117,2041,0,Y,62,F,5,223.08
46,00000000000A007,1,6,1,00007,0,03,041,00000,'NO MOUTH CREEK',,'IRR BIA RTE  7','25.7 KM NO. OF US HWY 212',99.99,25.9,0,0000000000,0,45175650,100231360,85,3,62,62,08,1960,2,0,70,2021,2,7.3,0,0,0,0,0,0,0,5,0,0,0,P,1,5,1,22,0,00,4,0,7.3,9.4,30.7,0.3,0.3,7.3,7.7,99.99,N,0,N,0,0,4,4,5,5,N,2,27.4,2,21.6,4,6,N,2,7,8,31,1,30.7,521,24,N  ,N  ,N  ,,,,0,0,1810,2021,,0,               ,0,N,2,,0,1,0,2,1,0,8,5,0,,Y,7,90,2041,0,Y,62,P,4,236.39
46,00000000000A011,1,6,1,00009,0,03,137,00000,'ABEAR CREEK',,'IRR BIA RTE  9','10 KM  EAST OF JCT SD 63',99.99,10.5,0,0000000000,0,44514880,101090360,82,3,62,62,08,1962,2,0,93,2021,2,7.4,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,22,0,00,3,0,7.4,9.4,21.3,0.2,0.2,7.4,7.8,99.99,N,0,N,0,0,7,5,6,7,N,2,32.6,2,24.4,5,6,N,5,7,6,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,1,0,8,5,0,,Y,8,114,2041,0,Y,62,F,5,166.14
46,00000000000A012,1,6,1,00012,0,03,137,00000,'BIG COTTONWOOD CREEK',,'IRR BIA RTE  12','14 KM  NE OF CHERRY CREEK',99.99,11.6,0,0000000000,0,44402770,101241718,111,3,62,62,08,1969,2,0,217,2021,4,9.2,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,22,0,00,3,0,9.2,9.4,28.7,0.2,0.2,9.2,9.7,99.99,N,0,N,0,0,5,6,5,4,N,2,43.5,2,32.7,5,6,N,5,7,7,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,6,0,8,5,0,,Y,5,298,2041,0,Y,62,F,5,278.39
46,00000000000A013,1,6,1,00012,0,03,137,00000,'LITTLE COTTONWOOD CREEK',,'IRR BIA RTE 12','10 KM  NE OF CHERRY CREEK',99.99,9.6,0,0000000000,0,44393070,101250510,111,3,62,62,08,1969,2,0,205,2021,5,9,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,22,0,00,3,0,9.1,9.4,28.7,0.2,0.2,9.2,9.7,99.99,N,0,N,0,0,6,6,6,5,N,2,43.5,2,32.7,6,6,N,5,7,7,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,6,0,8,5,0,,Y,5,239,2041,0,Y,62,F,6,278.39
46,00000000000A014,1,6,1,00011,0,03,137,00562,'CHERRY CREEK',,'IRR BIA RTE 11','1 KM WEST OF CHERRY CREEK',99.99,39.6,0,0000000000,0,44361070,101303390,80,3,62,62,08,1968,2,0,250,2021,4,8.1,0,0,0,0,1,1,1,5,0,0,0,A,1,5,5,04,0,00,3,0,8.7,21.3,47.9,0,0,9.2,9.3,99.99,N,0,N,0,0,8,8,7,8,N,2,48.9,2,37.1,7,6,N,5,8,6,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,2005,2,6,0,8,5,0,,Y,8,365,2041,0,Y,62,G,7,445.47
46,00000000000A015,1,6,1,00006,0,03,137,00000,'ASH CREEK',,'IRR BIA RTE  6','19KM WEST OF CHERRY CREEK',99.99,36.5,0,0000000000,0,44414243,101394457,10,3,62,62,07,1968,2,0,814,2021,5,7.3,0,0,0,0,0,0,1,5,0,0,0,A,1,5,5,04,0,00,3,0,8.8,12.9,32.1,0,0,8.8,9.3,99.99,N,0,N,0,0,7,7,7,7,N,1,78.2,1,38.3,7,5,N,5,7,8,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,2005,2,1,0,8,7,0,,Y,8,368,2041,0,Y,62,G,7,298.53
46,00000000000A017,1,6,1,00006,0,03,137,02282,'RED SCAFFOLD CREEK',,'IRR BIA RTE  6','IN RED SCAFFOLD',99.99,19,0,0000000000,0,44460182,101502298,77,3,62,62,08,1960,2,0,165,2021,2,7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,2,01,0,00,3,0,7.3,9.1,24.4,0.7,0.7,7.3,8.6,99.99,N,0,N,0,0,6,6,6,4,N,2,32.6,2,24.5,6,5,N,5,6,7,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,8,5,0,,Y,5,263,2041,0,Y,62,F,6,209.84
