STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
78,HESS CULVERT   ,1,4,1,00000,0,00,010,13716,'CASTLE COAKLEY GUT',,'ROUTE 68','ROAD 68',99.99,0,0,,,17430650,064444990,3,3,01,01,17,1990,2,0,1000,2019,0,12.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,12.5,2.6,6.1,0,0,12.5,19.4,99.99,N,0,N,0,0,N,N,N,7,6,0,54.4,0,32.7,6,9,N,5,7,8,35,1,,122,24,N  ,N  ,N  ,,,,50,5,75,2015,,,               ,0,N,2,,0,0,,N,1,0,8,,0,1,Y,8,1200,2029,,N,78,F,6,118.34
78,SPRING GUT     ,1,4,1,00000,0,00,010,14046,'SPRING GUT CREEK',,'ROUTE 85','ROUTE 85',99.99,0,0,,,17442770,064413240,0,3,01,01,17,1904,1,0,100,2019,0,5.8,0,0,0,0,0,0,0,5,0,0,0,B,1,5,3,03,0,00,1,0,5.1,5.8,7,0,0,5.1,5.8,99.99,N,0,N,0,0,4,5,6,6,N,0,10.9,0,6.3,3,3,N,5,7,8,35,1,,122,12,N  ,N  ,N  ,,,,610,61,915,2022,,,               ,0,N,1,,0,0,,1,6,8,8,,0,1,Y,8,120,2029,,N,78,P,4,40.6
78,STT003         ,1,4,1,00000,0,00,030,00000,'TURPENTINE RUN',,'ROUTE 30','.01 MILES FROM HWY 32',99.99,0,0,,,18191488,064524082,13,3,01,01,14,1994,3,0,600,2019,0,11.2,0,8,0,1,1,1,1,5,0,0,0,A,1,5,5,05,0,00,3,0,13,18.3,46.9,1.5,0.3,11.2,13.6,99.99,N,0,N,0,0,6,6,6,6,N,0,54.5,0,32.7,6,2,N,5,9,6,,,,122,24,N  ,N  ,N  ,,,,10,1,15,2022,,,               ,0,N,2,,0,0,,N,6,0,0,,0,1,Y,8,800,2029,,N,78,F,6,637.84
78,STT005         ,1,4,1,00000,0,00,030,00000,'TURPENTINE RUN',,'ROUTE 32','.5 MILES FROM RAPHUNE HIL',99.99,0,0,,,18195395,064530532,13,3,01,01,17,1985,2,0,500,2019,0,7.1,0,25,0,1,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,10.6,4.6,9.5,0,0,10.6,10.7,99.99,N,0,N,0,0,N,N,N,5,7,0,54.5,0,32.7,7,6,N,5,5,8,,,,122,24,N  ,N  ,N  ,,,,50,5,75,2022,,,               ,0,N,2,,0,0,,N,6,8,8,,0,1,Y,8,600,2029,,N,78,G,7,101.65
78,STT007         ,1,3,1,00000,0,00,030,00000,'TURPENTINE RUN',,'MARIENDAHL ROAD','HWY 30',99.99,0,0,,,18194380,064525850,14,3,01,01,02,1985,2,0,500,2019,0,10.7,0,25,0,N,N,N,N,5,0,0,0,A,1,5,1,19,1,00,2,0,10.7,3.7,7.7,0,0,10.7,10.7,99.99,N,0,N,0,0,N,N,N,7,7,0,54.4,0,32.7,7,6,N,5,7,8,,,,122,24,N  ,N  ,N  ,,,,45,5,68,2022,,,               ,0,N,2,,0,0,,N,9,8,8,,0,1,Y,8,600,2029,,N,78,G,7,82.39
78,STX0001        ,1,8,1,00000,0,00,010,13909,'UNNAMED GUT',,'UNNAMED ROAD','0.1 MILES FROM HWY 64',99.99,0,0,,,17421664,064471506,2,3,01,02,09,1980,1,0,1,2019,0,4.6,0,40,0,0,0,0,0,5,N,0,0,B,1,5,1,19,0,00,3,0,4.6,3.5,14.9,0,0,4.6,0,99.99,N,0,N,0,0,N,N,N,4,3,0,27.2,0,16.3,3,7,N,0,7,8,,,,122,12,N  ,N  ,N  ,,,,500,50,750,2022,,,               ,0,N,3,,0,0,,N,N,N,N,,0,1,Y,8,2,2029,,N,78,P,3,68.54
78,STX6405        ,1,4,1,00000,0,00,010,14401,'UNNAMED CREEK',,'ROUTE 64','.05 MILES FROM HWY 66',99.99,0,0,,,17422684,064471402,6,3,01,01,17,1970,2,0,800,2019,0,6.7,0,0,0,1,1,1,1,4,N,0,0,P,1,5,3,02,0,00,2,0,6.4,4,8.1,0,0,5.9,7,99.99,N,0,N,0,0,6,5,5,5,N,0,42.6,0,25.4,5,2,N,2,9,8,,,,122,24,N  ,N  ,N  ,,,,1025,100,1540,2022,,,               ,0,N,2,,0,0,,1,6,8,8,,0,1,Y,5,1000,2029,,N,78,F,5,56.7
78,STX6410        ,1,4,1,00000,0,00,010,13909,'UNNAMED GUT',,'ROUTE 64','EAST AIRPORT RD.',99.99,0,0,,,17420709,064470871,10,3,01,01,17,1990,2,0,800,2019,0,7,0,0,0,0,0,0,1,5,N,0,0,A,1,5,1,04,0,00,1,0,8.5,12.6,12.6,0,0,9.1,9.5,99.99,N,0,N,0,0,7,7,7,7,N,0,54.4,0,32.7,7,6,N,5,9,6,,,,122,24,N  ,N  ,N  ,,,,150,15,225,2015,,,               ,0,N,2,,0,0,,1,6,8,8,,0,1,Y,8,960,2029,,N,78,G,7,119.7
78,STX65205       ,1,4,1,00000,0,00,010,13716,'UNNAMED GUT',,'ROUTE 652','1 MILE FROM CENTERLINE RO',99.99,0,0,,,17435719,064472266,3,3,01,01,17,1998,2,0,100,2019,0,7.6,0,0,0,1,1,1,1,5,N,0,0,A,1,5,1,19,1,01,3,0,9.5,3,10.4,0,0,9.5,11.1,99.99,N,0,N,0,0,N,N,N,4,6,0,32.7,0,21.8,6,7,N,5,7,8,35,1,,122,24,N  ,N  ,N  ,,,,145,15,218,2022,,,               ,0,N,2,,0,0,,N,1,0,8,,0,1,Y,8,120,2029,,N,78,F,6,115.44
78,STX6610        ,1,4,1,00000,0,00,010,14279,'CARLTON GUT',,'ROUTE 66','MELVIN H. EVAN HIGHWAY',99.99,0,0,,,17413381,064502705,6,3,01,01,14,1985,4,0,1000,2019,0,19.8,1,15,0,1,0,0,0,5,N,0,0,A,1,5,1,19,0,00,3,0,12.2,2.4,8,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,0,54.4,0,32.7,6,N,N,5,7,8,,,,122,24,N  ,N  ,N  ,,,,175,18,263,2015,,,               ,0,N,2,,0,0,,N,6,0,0,,0,1,Y,8,1200,2029,,N,78,F,6,158.4
78,STX6611        ,1,4,1,00000,0,00,010,14429,'EAST WILLIAMS DELIGHT GU',,'ROUTE 66','MELVIN H. EVANS HIGHWAY',99.99,0,0,,,17413383,064495135,3,3,01,01,14,1985,4,0,1000,2019,0,25.9,1,15,0,1,1,1,1,5,N,0,0,A,1,5,1,19,0,00,3,0,25.9,3.1,11,0,0,25.9,0,99.99,N,0,N,0,0,N,N,N,6,6,0,54.4,0,32.7,6,9,N,5,7,8,,,,122,24,N  ,N  ,N  ,,,,0,0,0,2022,,,               ,0,N,2,,0,0,,N,6,8,8,,0,1,Y,8,1200,2029,,N,78,F,6,284.9
78,STX6620        ,1,4,1,00000,0,00,010,14401,'UNNAMED GUT',,'ROUTE 66','MELVIN H. EVANS HIGHWAY',99.99,0,0,,,17422367,064471565,10,3,01,01,14,1990,4,0,1500,2019,0,15.2,3,15,0,1,1,1,1,5,N,0,0,A,1,5,1,04,0,00,1,0,10.5,14.6,14.7,0,0,21.5,22.7,99.99,N,0,N,0,0,6,6,6,6,N,0,54.4,0,32.7,6,9,N,5,7,8,,,,122,24,N  ,N  ,N  ,,,,10,1,15,2022,,,               ,0,N,2,,0,0,,1,6,8,8,,0,1,Y,8,1800,2029,,N,78,F,6,333.69
78,STX6621        ,1,4,1,00000,0,00,010,00000,'UNNAMED GUT',,'ROUTE 66','MELVIN H. EVANS HIGHWAY',99.99,0,0,,,17422407,064471397,10,3,01,01,14,1990,4,0,1500,2019,0,15.2,3,15,0,1,1,1,1,5,N,0,0,A,1,5,1,04,0,00,1,0,10.7,14.5,14.5,0,0,21.5,22.7,99.99,N,0,N,0,0,6,5,6,6,N,0,51.7,0,30.8,5,9,N,4,7,8,,,,122,24,N  ,N  ,N  ,,,,10,1,15,2015,,,               ,2,N,2,,0,0,,1,6,8,8,,0,1,Y,8,1800,2029,,N,78,F,5,329.15
78,STX66905       ,1,4,1,00000,0,00,010,13961,'UNNAMED GUT',,'ROUTE 669','INDUSTRIAL ROAD',99.99,0,0,,,17424277,064480034,6,3,01,01,17,1990,2,0,120,2019,0,7,0,0,0,0,0,0,0,5,N,0,0,A,1,5,1,07,0,00,1,0,11.6,6.7,7,0,0,11.6,12.1,99.99,N,0,N,0,0,6,6,6,5,N,0,54.4,0,32.7,6,9,N,5,7,8,,,,122,24,N  ,N  ,N  ,,,,50,5,75,2022,,,               ,0,N,2,,0,0,,1,6,8,8,,0,1,Y,8,134,2029,,N,78,F,6,84.7
78,STX6991        ,1,4,1,00000,0,00,010,00000,'CASTLE BURK GUT',,'ROUTE 669','ROUTE 669',99.99,0,0,,,17432826,064481349,5,3,01,01,17,1910,2,0,300,2019,0,7.6,0,0,0,1,0,0,0,3,N,0,0,K,1,5,8,19,0,00,3,0,7.6,2.3,14.8,0,0,5.5,0,99.99,N,0,N,0,0,N,N,N,4,1,0,0,0,0,0,N,N,0,6,8,,,,122,3 ,N  ,N  ,N  ,,,,600,60,900,2015,,,               ,0,N,3,,0,0,,N,N,N,N,,0,1,Y,4,360,2029,,N,78,P,1,112.48
78,STX7020        ,1,4,1,00000,0,00,010,13961,'UNNAMED GUT',,'ROUTE 70','CENTERLINE ROAD',99.99,0,0,,,17431014,064481104,3,3,01,01,17,1910,2,0,1000,2019,0,7,0,0,0,0,0,0,0,3,N,0,0,P,1,5,8,19,0,00,3,0,7.5,3.3,10.3,0,0,7.5,0,99.99,N,0,N,0,0,N,N,N,5,4,0,22.7,0,13.6,4,4,N,2,7,8,35,1,,122,24,N  ,N  ,N  ,,,,635,64,952,2022,,,               ,0,N,2,,0,0,,N,N,N,N,,0,1,Y,8,1200,2029,,N,78,P,4,72.1
78,STX7025        ,1,4,1,00000,0,00,010,14046,'UNNAMED GUT',,'ROUTE 70','CENTERLINE ROAD',99.99,0,0,,,17432486,064472277,3,3,01,01,17,1970,2,0,1000,2019,0,6.9,0,0,0,0,1,1,1,5,0,0,0,P,1,5,1,04,0,00,1,0,7.2,7.6,7.6,0,0,7.2,7.6,99.99,N,0,N,0,0,5,3,4,5,N,0,27.2,0,16.3,3,4,N,0,7,8,35,1,,122,24,N  ,N  ,N  ,,,,645,65,968,2022,,,               ,0,N,2,,0,0,,1,6,8,8,,0,1,Y,8,1200,2029,,N,78,P,3,57.76
