STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
50,000053591-00002,1,6,0,00000,0,05,11 ,00000,'NORTH BRANCH/NUL. RIVER',,'FOUR MILE ROAD','FOUR MILE ROAD/NW 3.4 MI.',30.48,5.472,0,,,44512700,071480300,3,3,63,63,09,2003,1,0,10,2021,0,4,0,0,0,0,0,0,0,5,0,0,0,B,1,5,3,02,0,00,1,0,4.3,16.2,16.8,0.7,0.2,4.3,4.9,32.69,N,0,N,0,0,6,7,7,7,N,2,8.2,2,3.6,3,6,N,0,6,6,,,,721,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,8,7,0,0,,0,,Y,8,30,2041,,Y,63,F,6,82.32
50,000053591-00003,1,6,0,00000,0,05,11 ,00000,'LOGGER BRANCH/NUL. RIVER',,'EAGLES NEST ROAD','EAGLES NEST RD/NE 1.0 MI.',30.48,3.541,0,,,44512940,071443120,14,3,63,63,09,1960,1,0,20,2021,0,4,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,4.5,9.1,10.7,0.7,0.2,4.5,4.8,32.69,N,0,N,0,0,7,6,6,7,N,1,29,1,21.8,6,6,N,5,7,6,,,,721,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,1984,8,7,0,0,,0,,Y,8,50,2041,,Y,63,F,6,51.36
50,000053591-00004,1,6,0,00000,0,05,11 ,00000,'BLACK BRANCH/NUL. RIVER',,'STONE DAM ROAD','STONE DAM ROAD/NW 2.9 MI.',30.48,4.667,0,,,44481320,071422640,19,3,63,63,09,1960,1,0,20,2021,0,4.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.5,21,22.3,0.4,0.1,4.5,4.9,32.69,N,0,N,0,0,6,7,7,7,N,2,20,2,14.5,4,6,N,5,7,7,,,,721,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,1984,8,7,0,0,,0,,Y,8,50,2041,,Y,63,F,6,109.27
50,000053591-00005,1,6,0,00000,0,05,11 ,00000,'BLACK BRANCH/NUL. RIVER',,'LOGGER BRANCH ROAD','LOGGER BR. ROAD/SE 1.0',30.48,11.265,0,,,44510000,071433840,8,3,63,63,09,1960,1,0,10,2021,0,4.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.4,10.7,12.2,0.7,0.2,4.4,4.9,32.69,N,0,N,0,0,6,6,7,6,N,2,18.1,2,13.6,4,6,N,5,7,7,,,,721,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,1984,8,7,0,0,,0,,Y,4,30,2041,,Y,63,F,6,59.78
50,000053591-00006,1,6,0,00000,0,05,11 ,00000,'BLACK BRANCH/NUL. RIVER',,'LOGGER BRANCH ROAD','LOGGER BR. ROAD/NW-NE 3.3',30.48,18.347,0,,,44534260,071440180,11,3,63,63,09,1960,1,0,10,2021,0,4,0,0,0,1,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.5,11.3,12.5,0.7,0.2,4.5,4.9,32.69,N,0,N,0,0,7,6,7,7,N,2,43.5,2,32.7,6,6,N,5,7,6,,,,721,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,1984,8,7,0,0,,0,,Y,8,30,2041,,Y,63,F,6,61.25
50,092000000034759,1,6,0,00010,0,00,021,00000,'TEN KILNS BROOK',,'ROAD','NO DATA ENTERED',99.99,10.534,0,0000000000,0,43213679,072540356,999,3,64,64,09,2021,2,0,75,0,A,6.7,0,0,0,1,1,1,1,4,0,0,0,A,1,5,5,01,0,00,1,0,99.9,11,11.6,0,0,6.7,7.3,99.99,N,0,N,0,0,9,9,9,8,N,5,,5,,*,5,N,5,8,8,,,0,1221,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,2,1,0,0,,0,,Y,5,112,2042,0,Y,64,G,9,84.68
50,092001000001129,1,6,0,00092,0,00,001,00000,'GOSHEN BROOK',,'NO DATA ENTERED','HALE BROOK ROAD',99.99,0.016,0,0000000000,0,43571646,072574759,0,3,64,64,09,2010,1,0,10,0,0,4.3,0,0,0,1,1,1,1,4,0,0,0,A,1,5,9,19,0,00,1,0,99.9,6.3,14,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,8,5,,5,,*,N,N,5,8,8,,,0,1020,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,N,N,N,N,,0,,Y,5,15,2042,0,Y,64,G,8,60.2
50,092002000001003,1,6,0,00010,0,1 ,021,00000,'BIG BLACK BRANCH BRK',,'ROAD','NO DATA ENTERED',99.99,5.028,0,0000000000,0,43222197,072574435,0,3,64,64,09,1948,2,0,75,0,2,6.1,0,0,0,0,N,N,N,4,0,0,0,P,1,5,2,01,0,00,1,0,99.9,8,8.3,0,0,6.1,7.3,99.99,N,0,N,0,0,7,7,6,5,N,8,17.5,8,13.6,4,5,N,0,8,8,,,0,1020,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,1998,1,6,8,8,,0,,Y,4,112,2042,0,Y,64,F,6,60.59
50,092002000001015,1,6,0,00018,0,1 ,027,00000,'GREENDALE BROOK',,'ROAD','NO DATA ENTERED',99.99,5.392,0,0000000000,0,43205082,072490206,0,3,64,64,09,1940,1,0,10,0,2,4.3,0,0,0,0,N,N,N,4,0,0,0,A,1,5,3,02,0,00,1,0,99.9,10.5,10.8,0,0,4.3,5,99.99,N,0,N,0,0,6,6,6,6,N,8,39.5,8,30.5,6,6,N,5,8,8,,,0,1020,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,1998,1,1,8,8,,0,,Y,5,15,2042,0,Y,64,F,6,54
50,092002000001051,1,6,0,00073,0,1 ,003,00000,'DEERFIELD RIVER  WEST BR',,'ROAD','NO DATA ENTERED',99.99,1.76,0,0000000000,0,42500635,073005663,0,3,64,64,09,1976,1,0,25,0,5,4.3,0,30,0,0,0,0,0,4,0,0,0,A,1,5,3,02,0,00,1,0,99.9,22.3,22.9,0,0,4.3,4.8,99.99,N,0,N,0,0,6,8,7,8,N,8,59,8,45.4,7,6,N,5,9,8,,,0,1018,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,1995,1,6,8,8,,0,,Y,5,37,2042,0,Y,64,F,6,109.92
