STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
54,00000000001A001,1,4,1,00100,0,07,001,00000,'LITTLE COVE RUN',,'COUNTY ROUTE 1','0.77 MI N OF CO RT 92/1',99.99,5.423,0,,,39170888,079540612,0,3,01,01,09,1913,1,0,300,2018,0,4.9,0,30,0,1,0,0,0,5,0,0,0,A,1,5,1,11,0,00,1,0,4.2,7,7.7,0.1,0.1,4.2,4.8,99.99,N,0,N,99.9,0,N,6,N,5,N,0,47.2,0,21.8,6,2,N,5,8,6,31,1,13.7,921,24,N  ,N  ,N  ,,,,134,133,374,2021,,,               ,0,N,3,,0,0,0,N,N,N,N,8,0,,Y,8,336,2038,,N,54,F,6,36.96
54,00000000001A002,1,4,1,00100,0,07,001,00000,'LITTLE COVE RUN',,'COUNTY ROUTE 1','1.04 N OF CO 92/1 SLS',99.99,5.858,0,,,39171849,079541544,0,3,01,01,09,1913,1,0,300,2018,0,4.9,0,38,0,1,0,0,0,5,0,0,0,A,1,5,1,11,0,00,1,0,4.2,7,8,0.1,0.1,4.2,4.8,99.99,N,0,N,99.9,0,N,5,N,7,N,0,47.2,0,21.8,5,2,N,5,7,8,31,1,14,921,24,N  ,N  ,N  ,,,,137,136,381,2021,,,               ,0,N,3,,0,0,0,N,N,N,N,8,0,,Y,8,336,2038,,N,54,F,5,38.4
54,00000000001A003,1,4,1,00100,0,07,001,00000,'SANDY CREEK',,'COUNTY ROUTE 1','1.3 MI N CO 92/1',99.99,6.276,0,,,39172177,079543229,5,3,01,01,09,1957,1,0,184,2015,5,4.9,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,3,02,2,1,3.5,15.5,41.4,0,0,3.5,3.7,99.99,N,0,N,99.9,0,6,5,5,6,N,1,39.9,1,23.6,5,2,N,5,9,4,31,1,41.1,620,24,Y24,N  ,N  ,0420,,,1000,500,1650,2020,,,               ,0,N,3,,0,0,0,8,0,0,0,8,0,,Y,8,221,2035,,N,54,F,5,153.18
54,00000000001A005,1,4,1,00300,0,07,001,00000,'RACCOON CREEK',,'COUNTY ROUTE 3','0.03 MI E OF CO 3/2 SLS',99.99,1.014,0,,,39132381,079515227,0,3,01,01,09,1959,1,0,300,2018,0,6.1,0,10,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.3,7.7,8.3,0,0,4.3,4.3,99.99,N,0,N,99.9,0,7,5,4,7,N,1,63.5,1,38.1,4,2,N,5,8,8,31,1,14.3,1021,24,N  ,N  ,N  ,,,,140,139,388,2020,,,               ,0,N,3,,0,0,0,8,6,0,0,8,0,,Y,8,336,2038,,N,54,P,4,35.69
54,00000000001A006,1,4,1,00503,0,07,001,00000,'BRUSHY FORK',,'COUNTY ROUTE 5/3','0.01 MI S WV 38',99.99,1.416,0,,,39114412,079520502,0,3,01,01,09,1963,1,0,20,2018,0,3.7,0,0,0,1,1,1,1,5,0,0,0,P,1,5,3,02,0,00,1,0,3.7,9.4,10.7,0,0,3.7,3.7,99.99,N,0,N,99.9,0,5,4,6,7,N,1,33.6,1,20,4,4,N,3,8,7,31,1,17.1,921,24,N  ,N  ,N  ,,,,167,165,450,2021,,,               ,0,N,3,,0,0,0,8,0,0,0,0,0,,Y,7,25,2038,,N,54,P,4,39.59
54,00000000001A007,1,4,1,00700,0,07,001,63292,'SHOOKS RUN',,'CO ROUTE 7 SLS','0.01 MI W OF US 119 F',99.99,18.347,0,,,39090173,080031372,0,3,01,01,09,1912,2,0,850,2018,0,6.1,0,0,0,1,0,0,0,5,0,0,0,P,1,5,1,11,0,00,1,0,7,7.6,8.5,0,0,7,7,99.99,N,0,N,99.9,0,N,4,N,6,N,0,31.7,0,14.5,4,4,N,5,9,6,31,2,12.2,121,24,N  ,N  ,N  ,,,,200,50,300,2021,,,               ,0,N,2,,0,0,0,N,N,N,N,8,0,,Y,8,1020,2038,,N,54,P,4,59.5
54,00000000001A008,1,4,1,00900,0,07,001,00000,'SUGAR CREEK',,'COUNTY ROUTE 9','0.24 MI E CO 40',99.99,6.083,0,,,39061523,079562522,0,3,01,01,09,1915,1,0,150,2017,0,3.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,1,0,4.5,8,8.9,0.2,0.2,4.5,5.1,99.99,N,0,N,99.9,0,7,7,7,7,N,0,47.2,0,21.8,6,2,N,5,5,6,,,0,320,24,N  ,Y60,N  ,,0719,,0,0,0,,,,               ,0,N,3,,0,0,0,1,8,0,0,0,0,,Y,8,181,2037,,N,54,G,7,45.39
54,00000000001A009,1,4,1,00900,0,07,001,00000,'GLADE CREEK',,'COUNTY ROUTE 9','0.03 MI W OF WV 92',99.99,9.366,0,,,39070530,079543841,0,3,01,01,09,1913,1,0,130,2015,0,5.5,0,30,0,1,0,0,0,5,0,0,0,A,1,5,1,11,0,00,1,0,4.3,6.7,6.7,0.1,0.1,4.3,4.3,99.99,N,0,N,99.9,0,N,5,N,5,N,0,47.2,0,21.8,5,2,N,5,3,8,31,1,13.1,120,24,N  ,Y60,N  ,,0620,,146,145,392,2020,,,               ,0,N,3,,0,0,0,N,N,N,N,4,0,,Y,8,175,2035,,N,54,F,5,28.81
54,00000000001A015,1,4,1,01100,0,07,001,00000,'BUCKHANNON RIVER',,'COUNTY ROUTE 11','0.07 MI WEST OF CO 11/5',99.99,4.007,0,,,39040678,080061418,3,3,01,01,07,1993,2,0,484,2015,9,9.4,0,0,0,1,1,1,1,5,0,0,0,A,1,5,4,02,4,02,1,2,7.3,29,75.9,0,0,7.3,8.4,99.99,N,0,N,99.9,0,6,7,6,7,N,3,49.9,3,38.1,6,4,N,5,9,6,,,0,919,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,1,5,0,,Y,8,582,2035,,N,54,F,6,637.56
54,00000000001A016,1,4,1,01100,0,07,001,00000,'MIDDLE FORK RIVER',,'COUNTY ROUTE 11','0.01 MI E OF CO 36',99.99,10.219,0,,,39022890,080040318,21,3,01,01,07,1940,2,0,100,2018,0,6.7,0,0,0,0,0,1,1,5,0,0,0,A,1,5,3,03,3,03,1,1,6.9,17.8,37.2,0.2,0.2,6.9,7.3,99.99,N,0,N,99.9,0,4,5,4,7,N,1,72.6,1,43.5,4,5,N,5,9,5,31,1,42.7,621,24,Y24,Y12,Y12,0421,0921,0621,1500,500,2300,2021,,,               ,0,N,2,,0,0,0,1,3,0,0,8,0,,Y,3,112,2038,,N,54,P,4,271.56
