STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
56,            LAP,1,4,1,00000,0,00,015,00000,'Ft Laramie Canal',,'County Road 90','4.1 mi W-SW of Ft Laramie',99.99,0,0,,0,42115986,104354391,16,3,25,69,09,1915,2,0,2,2013,C,7.3,0,0,0,N,N,N,N,2,0,0,0,A,1,5,1,19,0,00,3,0,7.3,2.6,7.5,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,6,2,99.9,2,99.9,6,N,N,5,9,3,,,0,1021,24,N  ,N  ,N  ,,,,0,2,2,2020,,,               ,0,N,2,,0,0,0,N,0,0,0,,0,,Y,6,2,2041,,Y,69,F,6,54.75
56,            LAQ,1,4,8,00000,0,00,015,00000,'Ft Laramie Canal',,'County Road 60','5.2 mi W-NW of Veteran WY',99.99,0,0,,0,41585353,104284529,34,3,25,69,09,1913,1,0,2,2013,C,4.9,0,0,0,N,N,N,N,2,0,0,0,A,1,5,1,19,0,00,3,0,29.3,2.6,7.5,0,0,29.3,29.3,99.99,N,0,N,0,0,N,N,N,7,6,2,99.9,2,99.9,6,9,N,5,9,3,,,0,1021,24,N  ,N  ,N  ,,,,0,1,1,2020,,,               ,0,N,3,,0,0,0,N,0,0,0,,0,,Y,6,2,2035,,Y,69,F,6,219.75
56,         0402-1,1,6,8,00000,0,00,037,00000,'Dam spillway',,'Gravel road','Big Sandy Dam N of Farson',99.99,0,0,,0,42144751,109254451,16,3,69,69,06,1975,1,0,20,2005,5,4.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,02,0,00,1,0,3.7,15.8,16.5,0,0,3.7,4.2,99.99,N,0,N,0,0,7,7,8,8,N,2,79.2,2,50.4,7,4,N,5,7,7,,,0,621,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,8,20,2035,,Y,69,G,7,69.3
56,      14JCK1001,1,6,1,00000,0,00,039,00000,'SNAKE RIVER',,'GRAND TETON NP RD','JACKSON LAKE DAM',99.99,0,0,,0,43512720,110352309,96,3,69,69,09,1911,2,0,1800,2021,6,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,01,0,00,23,0,7.3,3.7,67.7,1.7,2.8,7.3,12.6,99.99,N,0,N,0,0,7,7,6,7,N,1,74.9,1,45,6,4,N,5,9,7,,,0,521,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1989,1,0,0,0,0,0,,Y,8,2300,2041,,Y,69,F,6,853.02
56,      WYA-S-001,1,6,4,00000,0,00,029,00000,'Shoshone River',,'Reclamation Road','5.7 mi W-SW of Cody WY',99.99,0,0,,0,44303017,109100709,320,3,69,69,09,1986,2,1,100,2013,6,9.1,0,0,0,1,1,0,1,5,0,0,0,A,1,6,3,02,0,00,3,0,5.5,33.5,84.2,0,0,5.5,6.2,99.99,H,0.82,H,0,0,7,6,7,8,N,2,45,2,27.9,6,4,3,5,9,3,,,0,821,24,N  ,N  ,N  ,,,,5,4,9,2020,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,6,110,2041,,Y,69,F,6,522.04
56,      WYA-S-002,1,4,4,00000,0,00,029,00000,'Shoshone River',,'Hayden Arch Road','4.5 mi W-SW of Cody WY',99.99,0,0,,0,44303702,109084972,320,3,69,69,09,1924,2,0,100,2013,2,7.9,0,29,0,1,0,0,0,1,0,0,0,P,1,5,1,11,1,04,1,1,6.1,37.8,48.6,0,0,6.1,7,99.99,N,0,N,0,0,4,4,5,7,N,2,41.4,2,23.4,4,5,N,5,9,6,38,1,0,821,24,N  ,Y60,N  ,,1018,,71,6,77,2020,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,5,110,2041,,Y,69,P,4,340.2
56,     WYA-BU-001,1,4,8,00000,0,00,013,00000,'Boysen Dam Spillway',,'Access Road','15.9 mi S. of Thermopolis',99.99,0,0,,0,43250007,108103956,320,3,69,69,09,1948,1,0,5,2015,5,4.3,0,0,0,1,0,1,1,4,0,0,0,P,1,5,1,04,0,00,2,0,3.7,10,21.5,0,0,3.7,4.3,99.99,N,0,N,0,0,7,7,6,7,N,1,35.1,1,20.7,6,4,N,5,9,4,38,1,0,1021,24,N  ,N  ,N  ,,,,1,2,3,2020,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,8,6,2032,,Y,69,F,6,92.45
56,     WYA-GU-001,1,4,1,00000,0,00,031,00000,'Glendo Dam Spillway',,'Glendo Park Road','4.2 mi E-SE of Glendo WY',99.99,0,0,,0,42283814,104570349,127,3,69,69,08,1954,2,0,200,2011,5,8.2,0,0,0,1,0,1,N,4,0,0,0,P,1,5,1,04,0,00,1,0,7.3,14,14.3,0,0,7.3,8.2,99.99,N,0,N,0,0,8,8,7,7,N,1,52.2,1,31.5,7,5,N,5,9,5,,,0,1021,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,220,2040,,Y,69,G,7,117.26
56,     WYA-RU-001,1,6,4,00000,0,00,013,00000,'Bull Lake Dam Spillway',,'Bull Lake Road','36 mi W-NW of Riverton',99.99,0,0,,0,43123683,109023263,320,3,25,69,09,1938,1,0,5,2011,2,8.8,0,0,0,1,N,N,N,3,0,0,0,K,1,5,3,10,0,00,1,0,2.7,30.9,31.8,2.3,0.1,2.3,5.4,99.99,N,0,N,0,0,5,4,4,8,N,1,28.8,1,17.1,4,0,N,5,9,3,32,1,32,817,24,N  ,N  ,N  ,,,,0,0,0,2018,,,               ,0,N,3,,0,1,0,1,0,0,0,,0,,Y,8,6,2032,,Y,69,P,4,171.72
56,     WYA-SU-001,1,4,1,00000,0,00,007,00000,'North Platte River',,'Seminoe Road','34.2 mi N-NE of Rawlins',99.99,0,0,,0,42122960,106523519,354,3,69,69,07,1989,2,0,60,2011,5,7.3,0,0,0,1,1,1,1,5,0,0,0,A,5,5,5,04,0,00,3,0,7.3,24.4,74.8,1,0,7.3,9.2,99.99,N,0,N,0,0,7,6,6,7,N,A,42.3,A,32.4,6,6,N,5,8,7,,1,0,1021,24,N  ,Y60,N  ,,1018,,10,11,21,2020,,,               ,0,N,2,,0,0,0,2,0,0,0,,0,,Y,5,66,2041,,Y,69,F,6,688.16
